date,ADA,AURORA,AVAX,BNB,BTC,DOGE,ETH,HBAR,LINK,LTC,NEAR,SOL,UNDEAD,stable
2026-03-31,$5511.58,$509.12,$30221.19,$9817.49,$67212.58,$4747.81,$15989.64,$19.06,$2753.56,$3527.74,$749.76,$611.76,$316.11,-$27950.15
2026-03-30,$5666.23,$520.35,$30372.93,$9961.71,$67743.09,$4857.40,$16073.42,$20.18,$2778.91,$3557.26,$768.82,$621.05,$319.53,-$27950.15
2026-03-29,$5550.05,$518.75,$29651.47,$9864.49,$66576.55,$4743.64,$15608.90,$19.91,$2696.52,$3544.14,$737.05,$607.33,$323.63,-$27950.15
2026-03-28,$5597.04,$533.33,$29877.93,$9863.68,$66394.55,$4717.24,$15612.40,$20.06,$2721.87,$3531.02,$743.40,$614.71,$311.59,-$27950.15
2026-03-27,$5771.56,$542.42,$30690.43,$10114.13,$68479.80,$4798.02,$16123.77,$20.31,$2820.10,$3602.52,$781.53,$633.37,$330.63,-$27950.15
2026-03-26,$5937.65,$547.49,$27750.36,$10226.96,$70177.59,$4831.20,$13173.23,$20.54,$2883.47,$3624.16,$781.53,$656.60,$392.91,-$28619.64
2026-03-25,$6154.06,$548.86,$28438.76,$10452.78,$71294.10,$5033.08,$13533.02,$21.20,$2965.86,$3694.35,$819.65,$681.45,$435.87,-$28619.64
2026-03-24,$6008.47,$550.41,$28214.29,$10253.68,$71233.91,$4955.21,$13409.09,$20.99,$2927.83,$3661.55,$845.07,$677.32,$435.27,-$28619.64
2026-03-23,$5648.35,$545.55,$26421.18,$10057.15,$68311.55,$4671.61,$12653.08,$19.94,$2734.55,$3520.52,$800.59,$631.15,$439.22,-$28619.64
2026-03-22,$5810.55,$547.09,$26901.43,$10143.91,$68758.16,$4755.36,$12919.79,$20.13,$2794.75,$3557.91,$819.65,$644.21,$438.97,-$28619.64
2026-03-21,$5995.74,$548.49,$27948.08,$10367.80,$70806.72,$4897.35,$13399.17,$20.69,$2883.47,$3675.98,$832.36,$663.68,$486.63,-$28619.64
2026-03-20,$6071.82,$556.02,$27958.51,$10335.61,$70471.76,$4895.99,$13285.42,$20.85,$2880.30,$3637.28,$851.42,$658.29,$481.03,-$28619.64
2026-03-19,$6062.76,$563.61,$27894.57,$10334.96,$69687.29,$4875.16,$13369.19,$20.67,$2864.46,$3618.92,$857.77,$656.23,$484.43,-$28619.64
2026-03-18,$6266.66,$580.69,$28770.26,$10585.25,$72496.06,$5000.16,$13925.76,$21.54,$2981.70,$3680.58,$902.25,$668.40,$488.02,-$28619.64
2026-03-17,$6447.91,$584.48,$30068.14,$10719.00,$73826.17,$5161.63,$14400.17,$21.97,$3086.27,$3769.79,$921.31,$689.12,$496.00,-$28619.64
2026-03-16,$6477.36,$603.46,$30109.87,$10936.61,$73795.10,$5218.92,$14198.36,$21.97,$3079.93,$3781.59,$889.54,$692.51,$496.80,-$28619.64
2026-03-15,$6006.12,$584.48,$28887.71,$10645.12,$71736.83,$5010.58,$13131.52,$21.39,$2934.17,$3632.69,$857.77,$651.51,$487.22,-$28619.64
2026-03-14,$5908.70,$576.89,$28113.16,$10515.23,$70821.28,$4953.29,$12886.97,$20.67,$2848.62,$3582.84,$832.36,$641.70,$491.01,-$28619.64
2026-03-13,$6153.38,$582.58,$29052.78,$10626.77,$71464.01,$5109.54,$13153.68,$21.61,$2931.00,$3632.69,$864.13,$659.69,$492.01,-$28619.64
2026-03-12,$5931.35,$569.30,$28123.59,$10493.66,$70431.96,$4932.45,$12787.68,$21.14,$2861.29,$3561.19,$838.71,$639.63,$488.42,-$28619.64
2026-03-11,$5926.82,$569.30,$28209.74,$10310.50,$69298.94,$4812.66,$12541.39,$21.03,$2839.11,$3550.70,$826.00,$627.17,$484.43,-$28619.64
2026-03-10,$5965.34,$567.40,$27739.93,$10406.10,$70595.07,$4927.24,$12776.01,$21.41,$2867.63,$3544.14,$826.00,$638.23,$481.83,-$28619.64
2026-03-09,$5775.02,$552.22,$26736.36,$10125.08,$68021.26,$4713.70,$12403.69,$21.12,$2785.24,$3506.75,$781.53,$617.21,$488.42,-$28619.64
2026-03-08,$5768.23,$552.22,$26159.52,$9979.41,$67653.29,$4651.19,$12101.67,$21.23,$2737.71,$3510.03,$787.88,$610.58,$489.02,-$28619.64
2026-03-07,$5842.99,$537.04,$26437.51,$10092.40,$68165.92,$4713.70,$12302.23,$21.50,$2791.58,$3537.58,$781.53,$622.82,$482.63,-$28619.64
