date	ADA	ATOM	AURORA	AVAX	BNB	BTC	DOGE	DOT	ETH	INDY	KUJI	LINK	LTC	LUNA	NEAR	OSMO	QI	ROAR	SNEK	SOL	UNDEAD	stable
2025-09-21	$13,786.00	$1,080.37	$1,539.01	$37,052.13	$36,564.75	$113,631.39	$10,549.48	$0.00	$23,202.86	$2,099.31	$0.00	$5,945.92	$5,602.72	$531.75	$1,982.41	$919.58	$3,264.76	$185.66	$3,312.84	$1,767.94	$0.00	$26,389.85
2025-09-20	$14,020.80	$1,090.08	$1,563.68	$37,984.89	$35,599.02	$113,944.53	$10,612.76	$0.00	$23,348.77	$2,115.22	$0.00	$6,025.44	$5,600.28	$536.20	$2,045.95	$937.00	$2,946.80	$186.65	$3,370.12	$1,774.43	$0.00	$26,389.85
2025-09-19	$14,083.00	$1,114.36	$1,622.51	$38,187.18	$34,629.79	$114,269.46	$10,751.21	$0.00	$23,571.23	$2,147.03	$0.00	$6,125.48	$5,675.43	$543.39	$2,001.47	$937.58	$2,385.16	$189.22	$3,395.14	$1,787.92	$0.00	$26,389.85
2025-09-18	$14,353.55	$1,119.22	$1,548.50	$37,029.65	$34,722.38	$115,245.23	$11,170.50	$0.00	$23,842.12	$2,178.83	$0.00	$6,271.69	$5,685.68	$536.54	$1,880.75	$958.48	$2,364.93	$187.35	$3,550.85	$1,833.50	$0.00	$26,389.85
2025-09-17	$13,557.43	$1,090.08	$1,489.67	$33,545.83	$33,257.36	$114,094.73	$10,557.39	$0.00	$23,375.76	$2,067.51	$0.00	$5,894.62	$5,582.71	$508.12	$1,715.55	$929.45	$2,163.82	$183.43	$3,341.08	$1,731.14	$0.00	$26,389.85
2025-09-16	$13,543.44	$1,085.23	$1,510.54	$34,242.60	$32,444.66	$113,318.24	$10,521.79	$0.00	$23,361.64	$2,083.41	$0.00	$6,045.96	$5,579.78	$508.12	$1,702.84	$925.39	$2,209.12	$182.55	$3,408.05	$1,734.09	$0.00	$26,389.85
2025-09-15	$13,405.05	$1,094.94	$1,506.75	$32,410.78	$32,142.08	$112,720.41	$10,395.21	$0.00	$23,472.77	$2,067.51	$0.00	$5,969.01	$5,527.07	$506.41	$1,671.07	$943.39	$2,181.64	$181.98	$3,496.80	$1,734.60	$0.00	$26,389.85
2025-09-14	$14,061.23	$1,138.64	$1,561.78	$33,433.45	$32,624.95	$113,737.41	$11,344.54	$0.00	$24,074.81	$2,162.93	$0.00	$6,271.69	$5,652.50	$528.67	$1,728.26	$998.54	$2,294.87	$192.58	$3,706.57	$1,817.06	$0.00	$26,389.85
2025-09-13	$14,711.19	$1,179.91	$1,592.14	$34,175.17	$32,826.90	$113,919.01	$11,621.43	$0.00	$24,543.77	$2,290.16	$0.00	$6,484.60	$5,863.33	$548.52	$1,823.56	$1,032.79	$2,364.93	$199.33	$3,912.31	$1,787.63	$0.00	$26,389.85
2025-09-12	$13,897.96	$1,136.21	$1,523.83	$32,197.26	$31,760.19	$113,108.16	$10,466.41	$0.00	$23,629.21	$2,194.74	$0.00	$6,310.17	$5,689.59	$527.30	$1,740.96	$995.05	$2,251.09	$196.17	$3,643.64	$1,776.49	$0.00	$26,389.85
2025-09-11	$13,680.27	$1,124.07	$1,520.03	$32,388.30	$31,372.71	$111,846.74	$9,782.10	$0.00	$22,925.59	$2,115.22	$0.00	$6,092.14	$5,691.54	$520.11	$1,721.90	$992.15	$2,212.14	$192.78	$3,617.01	$1,667.64	$0.00	$26,389.85
2025-09-10	$13,691.15	$1,128.93	$1,512.44	$30,826.20	$30,998.51	$111,117.37	$9,592.23	$0.00	$22,722.69	$2,162.93	$0.00	$6,038.27	$5,536.34	$521.48	$1,702.84	$996.80	$2,218.48	$192.69	$3,316.87	$1,638.88	$0.00	$26,389.85
2025-09-09	$13,843.54	$1,128.93	$1,559.88	$29,320.29	$30,787.47	$110,686.42	$9,722.76	$0.00	$22,637.67	$2,178.83	$0.00	$6,074.18	$5,547.57	$536.88	$1,747.32	$999.70	$2,218.78	$197.10	$3,497.60	$1,607.97	$0.00	$26,389.85
2025-09-08	$13,234.00	$1,097.37	$1,582.66	$28,286.38	$30,670.42	$109,882.45	$9,228.32	$0.00	$22,387.08	$2,083.41	$0.00	$5,894.62	$5,524.63	$510.52	$1,588.47	$959.06	$2,260.75	$188.03	$3,286.21	$1,577.00	$0.00	$26,389.85
