date	ADA	ATOM	AURORA	AVAX	BNB	BTC	DOGE	ETH	INDY	LINK	LTC	LUNA	NEAR	OSMO	QI	ROAR	SNEK	SOL	UNDEAD	stable
2025-12-22	$427.28	$0.00	$0.00	$9,296.22	$1,221.74	$10,212.06	$1,503.38	$8,322.09	$61.80	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,651.75	$10,306.25
2025-12-19	$427.28	$0.00	$0.00	$9,107.59	$1,221.74	$10,137.26	$1,503.38	$8,202.34	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,651.75	$10,306.25
2025-12-15	$427.28	$0.00	$0.00	$8,986.02	$1,221.74	$10,137.26	$1,503.38	$8,202.34	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,651.75	$10,306.25
2025-12-11	$427.28	$0.00	$0.00	$8,986.02	$1,221.74	$10,137.26	$1,503.38	$8,202.34	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,232.39	$10,306.25
2025-12-08	$427.28	$0.00	$0.00	$8,030.96	$998.47	$10,137.26	$1,221.23	$8,202.34	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,232.39	$10,306.25
2025-11-05	$427.28	$0.00	$0.00	$7,353.49	$998.47	$10,137.26	$1,221.23	$8,202.34	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,200.97	$10,306.25
2025-10-20	$427.28	$0.00	$0.00	$7,278.86	$998.47	$10,109.68	$1,221.23	$8,202.34	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$10,276.54
2025-10-18	$427.28	$0.00	$0.00	$7,179.31	$998.47	$10,069.10	$1,221.23	$8,202.34	$96.21	$758.22	$1,851.03	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$10,276.54
2025-10-15	$427.28	$0.00	$0.00	$7,179.31	$998.47	$10,069.10	$1,221.23	$8,202.34	$96.21	$50.72	$1,813.24	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,415.15
2025-10-14	$427.28	$0.00	$0.00	$7,179.31	$998.47	$10,069.10	$1,104.82	$8,202.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,415.15
2025-10-13	$427.28	$0.00	$0.00	$7,110.65	$998.47	$10,069.10	$1,104.82	$8,202.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
2025-10-11	$427.28	$0.00	$0.00	$6,481.83	$998.47	$10,069.10	$1,104.82	$8,202.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
2025-10-10	$427.28	$0.00	$0.00	$6,398.02	$998.47	$10,069.10	$1,104.82	$8,202.34	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
2025-10-07	$427.28	$0.00	$0.00	$6,398.02	$998.47	$10,069.10	$1,104.82	$7,907.86	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
2025-10-03	$427.28	$0.00	$0.00	$6,398.02	$998.47	$9,990.11	$1,104.82	$7,819.31	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
2025-10-02	$427.28	$0.00	$0.00	$6,398.02	$998.47	$9,990.11	$1,104.82	$7,733.35	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
2025-09-30	$427.28	$0.00	$0.00	$6,398.02	$998.47	$7,873.38	$912.32	$7,733.35	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
2025-09-27	$427.28	$0.00	$0.00	$6,398.02	$998.47	$7,873.38	$912.32	$7,654.39	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$162.19	$55.80	$0.00	$0.00	$4,148.18	$9,180.66
