ix,pool,open_pivots,last_pivot_on_dt,opened,ids,close_id,close_date,from,from_blockchain,amount1,virtual,quote1,val1,gain_10_percent,pivot_token,pivot_blockchain,pivot_close_price,pivot_amount,proposed_token,proposed_blockchain,proposed_close_price,proposed_amount,roi,apr
1,ETH+USDC,9,2026-02-23,2025-08-10,7;11;12;23,8,2026-06-30,ETH,Avalanche,1.2307999,0.69304544,$1936.27,$3725.08,2.1162298,USDC,Avalanche,$1.00,3716.2793,ETH,Avalanche,$1590.09,2.3360777,21.43%,24.14%
2,BTC+AVAX,12,2025-12-22,2025-11-07,1;49;51,20,2026-06-30,BTC,Avalanche,0,0.0219255,$63676.00,$1396.13,0.024118051,AVAX,Avalanche,$6.59,233.0765,BTC,Avalanche,$59473.00,0.025826411,17.79%,27.63%
3,ETH+AVAX,17,2025-12-22,2025-08-10,23;25;27;36;38;40,17,2026-06-30,ETH,Avalanche,0,0.8004624,$1724.43,$1380.34,0.88050866,AVAX,Avalanche,$6.59,230.441,ETH,Avalanche,$1590.09,0.95504427,19.31%,21.76%
4,BTC+AVAX,12,2025-12-22,2025-12-18,48;50,21,2026-06-30,AVAX,Avalanche,102.55,0,$12.94,$1326.75,112.80501,BTC,Avalanche,$59473.00,0.014581,AVAX,Avalanche,$6.59,131.58966,28.32%,53.28%
5,AVAX+USDC,5,2026-02-23,2026-01-30,21;25,19,2026-06-30,USDC,Avalanche,0,1326.5433,$1.00,$1326.54,1459.1978,AVAX,Avalanche,$6.59,221.43,USDC,Avalanche,$1.00,1459.8938,10.05%,24.30%
6,BNB+USDT,7,2026-06-26,2025-03-18,7,10,2026-06-30,BNB,Binance,1.62,0,$632.14,$1024.07,1.7820001,USDt,Binance,$1.00,1001.1292,BNB,Binance,$552.44,1.8090966,11.67%,9.08%
7,ADA+USDC,5,2026-02-17,2026-02-17,7,3,2026-06-30,ADA,Cardano,0,3537,$0.2800,$990.36,3890.7002,iUSD,Cardano,$1.00,1000,ADA,Cardano,$0.1453,6879.8164,94.51%,259.37%
8,AVAX+USDC,5,2026-02-23,2026-02-23,24,18,2026-06-30,AVAX,Avalanche,0,94.863914,$9.47,$898.36,104.35031,USDC,Avalanche,$1.00,898.63,AVAX,Avalanche,$6.59,136.30008,43.68%,125.54%
9,BTC+ADA,4,2026-02-17,2026-02-17,7,3,2026-06-30,ADA,Cardano,2929,0,$0.2800,$820.12,3221.9001,iBTC,Cardano,$59473.00,0.012099,ADA,Cardano,$0.1453,4952.74,69.09%,189.62%
10,AVAX+UNDEAD,4,2026-01-05,2025-11-27,2;8,5,2026-06-30,UNDEAD,Avalanche,0,242307.16,$0.002201,$533.32,266537.88,AVAX,Avalanche,$6.59,59.309998,UNDEAD,Avalanche,$0.000859,455162.88,87.85%,149.13%
11,INDY+ADA,3,2025-05-11,2025-05-11,5,3,2026-06-30,INDY,Cardano,480,0,$1.04,$499.20,528,ADA,Cardano,$0.1453,620.15,INDY,Cardano,$0.0926,973.2449,102.76%,90.38%
12,BTC+DOGE,8,2025-12-11,2025-12-11,27,15,2026-06-30,DOGE,Binance,0,3560,$0.1378,$490.57,3916,BTC,Binance,$59473.00,0.005412,DOGE,Binance,$0.0724,4448.331,24.95%,45.31%
13,BTC+BNB,12,2025-12-11,2025-10-17,26,12,2026-06-30,BTC,Binance,0,0.0038275623,$77507.00,$296.66,0.0042103184,BNB,Binance,$552.44,0.4609,BTC,Binance,$59473.00,0.004281264,11.85%,16.90%
14,BNB+LTC,6,2025-12-11,2025-10-17,12,6,2026-06-30,LTC,Binance,0,5.355439,$53.67,$287.43,5.890983,BNB,Binance,$552.44,0.46,LTC,Binance,$42.61,5.9639144,11.36%,16.20%
15,ETH+NEAR,2,2025-06-04,2025-06-04,2,1,2026-06-30,ETH,Aurora,0.1,0,$2624.58,$262.46,0.11000001,NEAR,Aurora,$1.86,104.54,ETH,Aurora,$1590.09,0.12228516,22.29%,20.80%
16,NEAR+AURORA,2,2025-06-04,2025-06-04,2,1,2026-06-30,AURORA,Aurora,3000,0,$0.0815,$244.50,3300,NEAR,Aurora,$1.86,98.19,AURORA,Aurora,$0.0248,7352.942,145.10%,135.45%
17,ETH+AURORA,2,2025-06-04,2025-06-04,1,1,2026-06-30,AURORA,Aurora,1500,0,$0.0815,$122.25,1650,ETH,Aurora,$1590.09,0.04653,AURORA,Aurora,$0.0248,2978.761,98.58%,92.03%
18,AURORA+USDC,2,2025-06-07,2025-06-07,1,1,2026-06-30,AURORA,Aurora,1500,0,$0.0783,$117.45,1650,USDC,Aurora,$1.00,117.15,AURORA,Aurora,$0.0248,4714.372,214.29%,201.59%
19,NEAR+USDC,2,2025-06-06,2025-06-06,1,1,2026-06-30,NEAR,Aurora,40,0,$2.50,$100.00,44,USDC,Aurora,$1.00,92.76,NEAR,Aurora,$1.86,49.848076,24.62%,23.10%
