date	opened	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-05-05	2025-03-14	7	1	https://snowtrace.io/tx/0xa2a83325a355818a4977cbbdb285b559cf108aa3b142cc06545ea080f067e717	BTC	$94365.00	AVAX	$19.52	0.00616	$0.1202	29.61123	29.6274	2.708	$52.86	10.06%	70.62%
2025-05-05	2025-04-21	13	2	https://snowtrace.io/tx/0x5f1de36afe5e5c599d4aaf6374e08b09a8bfe8b313a055ca17eb6af381d8f193	BTC	$94365.00	AVAX	$19.52	0.00389	$0.0759	18.59	18.7086	1.8086	$35.33	10.70%	279.02%
2025-05-05	2025-03-22	11	3	https://snowtrace.io/tx/0xcf88f81b5b0b54b2e2f22715aefcfbf7c1e402ec1e2182dd72c9cfa25d8e57f5	BTC	$94365.00	AVAX	$19.52	0.00595	$0.1161	28.26098	29.6427	3.9508	$77.06	15.38%	127.55%
2025-06-07	2025-05-09	15	4	https://snowtrace.io/tx/0x9fc35d078000205db8d0160804314572bef3063904a33db968cf5e6819df9055	BTC	$105236.00	AVAX	$21.01	0.01021	$0.2145	50.017002	51.7309	6.2609	$131.55	13.77%	173.31%
2025-06-07	2025-04-17	12	5	https://snowtrace.io/tx/0xdca1dd23d9d526807dfb7b9f4c84ea3b52590167925a3da84c5d96bcc450df4e	BTC	$105236.00	AVAX	$21.01	0.01176	$0.2471	56.87836	59.6284	7.9208	$166.43	15.32%	109.64%
2025-06-07	2025-03-16	8	6	https://snowtrace.io/tx/0x28455e8ac148bd727ed93afe6432dbc6647a42ecf1cd8ce7b0b4d84177ed2322	BTC	$105236.00	AVAX	$21.01	0.00597	$0.1254	29.48858	30.7387	3.9309	$82.57	14.66%	64.48%
2025-06-07	2025-03-18	9	7	https://snowtrace.io/tx/0x795f938aaf9369e0bcfb9a65a5135b15853f89e98aea8e0c63ed12d2e0fb148c	BTC	$105236.00	AVAX	$21.01	0.00614	$0.1290	30.0982	32.7161	5.3542	$112.50	19.57%	88.18%
2025-06-07	2025-03-21	10	8	https://snowtrace.io/tx/0xe2eb67f04923aff44175cd2dfc2bc7ad9ffa85bb4674fbf05ce373a2cfe6c1b2	BTC	$105236.00	AVAX	$21.01	0.00595	$0.1250	28.72144	30.594	4.4836	$94.17	17.17%	80.35%
2025-06-14	2025-04-20	6;14;16	9	https://snowtrace.io/tx/0x59e7df760db9ba40a6275427c4d6875f3a92d51c83d6b257727034639b3faf9b	BTC	$105043.00	AVAX	$18.95	0.01606	$0.3043	86.00152	89.6038	11.4206	$216.42	14.61%	105.93%
2025-06-25	2025-06-14	17	10	https://snowtrace.io/tx/0xdeb4e9f693c6a70c281a3e5dc827361b121f9520621f3d58baa79bcdbf588f23	BTC	$107394.00	AVAX	$18.02	0.00237	$0.0427	14.47941	14.4876	1.3245	$23.41	10.05%	333.34%
2025-06-26	2025-06-15	19	11	https://snowtrace.io/tx/0xc93ebd9e82c94956edc6efe89e6c480d9e7cd1c575b160b71e3a7bea59544e1c	BTC	$107377.00	AVAX	$17.53	0.00236	$0.0414	14.24016	14.6803	1.7346	$30.42	13.40%	444.63%
2025-07-18	2025-06-21	18;22;23;24;26;28;30	12	https://snowtrace.io/tx/0xa98b437643ce8d67768c3834df5c9db268aff6dd3f29bb9b38f6c7ba3864eb7a	AVAX	$23.52	BTC	$117935.00	247.3276	$29168582.00	0.0548746	0.047733	0.0320451	$3617.14	221.83%	3036.28%
2025-07-20	2025-06-15	20	13	https://snowtrace.io/tx/0xfceab069e48e870824cd4a658ed3e8142e109aa570c5196d017b9a18c2473bd8	AVAX	$24.94	BTC	$117982.00	25.88851	$3054378.25	0.0051986002	0.005555	0.0008296	$97.82	17.55%	182.99%
2025-07-27	2025-07-23	36	14	https://snowtrace.io/tx/0x326105caf91f776da36249598f8fc783b50377d7197978dcd09b623b2d720076	AVAX	$26.04	BTC	$118085.00	20.83333	$2460103.75	0.00462	0.004653	0.0004526	$53.43	10.77%	983.05%
2025-08-06	2025-07-20	35	15	https://snowscan.xyz/tx/0xefe902a941ae8921e6b81dc665b1f601c2cce9c7b082b33a3966942a7493460a	BTC	$113883.00	AVAX	$22.05	0.008524	$0.1880	44.0	44.32789	44.32789	$977.48	110.82%	2379.47%
2025-08-06	2025-07-27	42	16	https://snowtrace.io/tx/0x3381b63b3a1edce935e6ca7929b6a6a43f136ffa0bfdd4e16177e3b9c8f6fd9d	BTC	$113883.00	AVAX	$22.05	0.004282	$0.0944	20.9	22.243883	3.2438831	$71.52	17.07%	623.08%
2025-09-27	2025-07-30	34;41;43	17	https://snowtrace.io/tx/0xf3bd8ec34f32c4048fc546b0c248802b76f6bdcdcbe634dbb12deb8a973b0950	AVAX	$28.83	BTC	$109383.00	82.67649	$9043403.00	0.01837	0.021242	0.004542	$496.92	27.20%	161.88%
2025-10-11	2025-09-27	45	18	https://snowtrace.io/tx/0x1b92a4448b1d36ab7d047f867aa87eec9bf0b55eea21c219f20e06166382e1f9	BTC	$112303.00	AVAX	$22.34	0.004585	$0.1024	19.58	22.372528	4.5725274	$102.18	25.69%	669.86%
2025-12-11	2025-07-18	21;25;27;29;31;32;33;37;39;40;46	19	https://snowtrace.io/tx/0x539fe0126f1d409925ecab1d8b9555c50ca27e810b6afb27b126078029d99a16	BTC	$90232.00	AVAX	$13.75	0.05696	$0.7832	329.44693	387.3806	87.88342	$1207.95	29.70%	74.25%

