date	opened	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-04-21	2025-03-18	5	1	https://bscscan.com/tx/0xf60b86244521c48e9fd16ac5afdb4ab1038bcd85a533d5c9640d0ad876009c07	BTC	$87269.00	DOGE	$0.1618	0.006038	$526.93	3300.0	3320.0	320.0	$51.49	10.61%	113.93%
2025-05-05	2025-03-11	4	2	https://bscscan.com/tx/0x8ce1ca6737d9adf6c3f573928c84fbfbaac44f8c4d2764cacb23c6252546c8e8	BTC	$94365.00	DOGE	$0.1710	0.006103	$575.91	3362.7	3382.0	325.0	$55.60	10.64%	70.59%
2025-05-05	2025-03-22	7	3	https://bscscan.com/tx/0x893f86ca2612cadfc72d2d148e87778811f06f4d80f89e31a96beb15e73d2ead	BTC	$94365.00	DOGE	$0.1710	0.005946	$561.09	3278.0	3302.0	302.0	$51.73	10.15%	84.20%
2025-05-11	2025-03-10	2	4	https://bscscan.com/tx/0xb7445819bf3c9c8371a4a24e7baaf28257846688983ac2818d838aadfa9bfa6e	DOGE	$0.2340	BTC	$104742.00	6330.843	$1481.42	0.013699731	0.0139	0.0014	$149.67	11.47%	67.54%
2025-05-11	2025-03-11	3	5	https://bscscan.com/tx/0xf034aaa0bf4cac6652d254ff074f638c0c67521cc4a9b4e0af7c15ca2fb4b009	DOGE	$0.2340	BTC	$104742.00	6041.51	$1413.71	0.01325632	0.0133	0.0013	$131.30	10.41%	62.28%
2025-05-11	2025-03-22	8	6	https://bscscan.com/tx/0x28d5e459d93c5f469a9c1bbdcf7ca1c7b3d8055d286fbf7dc5087facf9eb45f4	DOGE	$0.2340	BTC	$104742.00	5941.58	$1390.33	0.013092751	0.0131	0.0131	$1371.43	110.01%	803.08%
2025-06-11	2025-05-09	12	7	https://bscscan.com/tx/0xc6a3dc9c22958caa03c0e9a0d1b080bcaee453830475b710564295707c781bb7	BTC	$0.1990	DOGE	$109230.00	0.009713	$0.001933	5357.0	5462.0	592.0	$117.79	12.15%	134.43%
2025-06-11	2025-05-11	13	8	https://bscscan.com/tx/0x78d7b77b3cdd006226780adede118a2d389a5aaef04db3cfab164ef38c9a1ce0	BTC	$0.1990	DOGE	$109230.00	0.009492	$0.001889	4708.0	5339.0	1059.0	$210.69	24.74%	291.26%
2025-06-11	2025-05-14	14	9	https://bscscan.com/tx/0x58b80a405f41898e6eb3418e07483f56fbcdd676a0e7fda900fa7dd762743899	BTC	$0.1990	DOGE	$109230.00	0.00964	$0.001918	4741.0	5420.0	1110.0	$220.79	25.74%	335.57%
2025-06-11	2025-05-16	15	10	https://bscscan.com/tx/0xe6808ee1e9174e6b512739b9c3dee7e14bbd9311e3e9b93d136c1a7aca17c2e6	BTC	$0.1990	DOGE	$109230.00	0.009548	$0.001900	5027.0	5371.0	801.0	$159.31	17.52%	245.92%
2025-06-11	2025-05-23	16	11	https://bscscan.com/tx/0x958beb48b1dbf63e8ba5e7d44157487dc924f2e31fe163ae275b00003a6dbc12	BTC	$0.1990	DOGE	$109230.00	0.005736	$0.001141	2949.1	3250.0	569.0	$113.23	21.22%	407.72%
2025-10-02	2025-06-11	18	12	https://bscscan.com/tx/0xdbcc3c0d45c3752719006cfab5e4b2c0c0e47746f4dab2489ca93a9f5266a112	DOGE	$0.2563	BTC	$119321.00	5193	$1330.97	0.010120001	0.011231	0.002031	$242.29	22.07%	71.30%
2025-10-15	2025-10-04	21;23	13	https://bscscan.com/tx/0x96e1ef314fff15b4230df938f408b5838d6722440c3adfb49bc757394d9e5d67	BTC	$111080.00	DOGE	$0.1983	0.008425	$935.85	4427.5	4759.0	734.0	$145.51	18.23%	633.64%
2025-12-11	2025-06-03	9;10;11;19;25	14	https://bscscan.com/tx/0x46826688d441039312098b556a14945c6801f25c76498c223d3e7a57e82fcd8a	BTC	$90232.00	DOGE	$0.1378	0.02564	$2313.55	15642.0	16779.0	2559.0	$352.68	18.35%	35.06%

