date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-03-17	6	1	https://bscscan.com/tx/0xe53845aaa92a5c6c9fe37b6bd0ade62c76799d5197d9149d7431f3297db7393a	BNB	$631.20	ETH	$1910.59	0.89985	$567.99	0.2882	0.2955	0.0334	$66.01	13.14%	799.05%
2025-04-21	8	2	https://bscscan.com/tx/0x92ef9be6a7ee7f005d8e28174b8add90d087fbf1bab3d00134ce2bf84a6572a6	BNB	$602.06	ETH	$1629.20	0.79765	$480.23	0.27609998	0.3031	0.0511	$82.94	20.29%	246.89%
2025-05-14	5	3	https://bscscan.com/tx/0xd01e807a70ca21c5c8491fe7ea3256e1d33a8d83db76147fda905f5cdda84037	ETH	$2623.33	BNB	$656.68	0.46090	$1209.09	1.837	1.8413	0.1711	$111.73	10.19%	53.92%
2025-06-11	2	4	https://bscscan.com/tx/0x79226f3a37897b4e3f509ebcdccb61954fdd874a3fd06e55e3c9e03b962f9161	ETH	$2770.98	BNB	$666.95	0.46947	$1300.89	1.9008001	1.9515	0.2233	$148.93	12.92%	47.16%
2025-06-11	3	5	https://bscscan.com/tx/0x56c5e05005e947687be98b8d62bde9f656d11a512a3f51b5d019fdf6425543da	ETH	$2770.98	BNB	$666.95	0.45977	$1274.01	1.867899	1.9089	0.2106	$140.67	12.42%	45.79%
2025-06-11	4	6	https://bscscan.com/tx/0x1949e94f5b7d172d3d8456428ce42c72c20f06c36fce928316919761f9f65056	ETH	$2770.98	BNB	$666.95	0.43920	$1217.01	1.821831	1.8234	0.1670	$111.35	10.08%	37.55%
2025-10-07	13	7	https://bscscan.com/tx/0xee1b7c8224533ce2ff804482279bbd2c8b79d20e6d56ff28fb5181cdc3b5bf79	BNB	$1319.72	ETH	$4713.12	0.76020	$1003.25	0.21835001	0.2221	0.0235	$110.69	11.83%	28.98%
2026-02-05	11;12;17;19	8	https://bscscan.com/tx/0xf986dc35a37a999d1c1a9625f7c3b172e65560f4020e601494cbcf3a529d40d2	BNB	$666.96	ETH	$1984.84	4.18450	$2790.89	1.3112	1.3983	0.2042	$403.91	17.08%	32.10%
2026-06-11	21	9	https://bscscan.com/tx/0xaf81bd4b7b26573076fff9ce1f4eb9331753711c3d51ea7995041e0dc5ba83b2	BNB	$594.95	ETH	$1,652.66	3.4423	$2,048.00	1.1431296	1.24238	0.203171	$335.77	19.55%	56.63%
2026-07-10	1;18;20;22	10	https://bscscan.com/tx/0xdc951efc52b7620c967eab5b66341ce0c718fe0e0b628a3ac203ce87e7795ad7	ETH	$1,769.09	BNB	$574.90	2.858200433	$5,056.41	8.584692	8.895593498	1.091328	$627.40	13.98%	32.07%
