date	pool	token	quote	amount	amount $	paydown	paydown $	sum	BTC $	AVAX $	asUSD	total
2025-05-05	BTC+AVAX	AVAX	$19.52	6.77392	$132.23	0.84674	$16.53	7.62066	$0.00	$148.76	$148.76	$148.76
2025-06-07	BTC+AVAX	AVAX	$21.01	22.36032	$469.79	2.79504	$58.72	25.15536	$0.00	$677.27	$528.51	$677.27
2025-06-14	BTC+AVAX	AVAX	$18.95	9.13648	$173.14	1.14206	$21.64	10.27854	$0.00	$872.05	$194.78	$872.05
2025-06-25	BTC+AVAX	AVAX	$18.02	1.0596	$19.09	0.13245	$2.39	1.19205	$0.00	$893.53	$21.48	$893.53
2025-06-26	BTC+AVAX	AVAX	$17.53	1.38768	$24.33	0.17346	$3.04	1.56114	$0.00	$920.90	$27.37	$920.90
2025-07-18	BTC+AVAX	BTC	$117,935.00	0.02563608	$3,023.39	0.00320451	$377.92	0.02884059	$3,401.31	$920.90	$3,401.31	$4,322.21
2025-07-20	BTC+AVAX	BTC	$117,982.00	0.00066368	$78.30	0.00008296	$9.79	0.00074664	$3,489.41	$920.90	$88.09	$4,410.30
2025-07-27	BTC+AVAX	BTC	$118,085.00	0.00036208	$42.76	0.00004526	$5.34	0.00040734	$3,537.51	$920.90	$48.10	$4,458.40
2025-08-06	BTC+AVAX	AVAX	$22.05	38.05741848	$839.17	4.75717731	$104.90	42.81459579	$3,537.51	$1,864.96	$944.06	$5,402.46
2025-09-27	BTC+AVAX	BTC	$109,383.00	0.0036336	$397.45	0.0004542	$49.68	0.0040878	$3,984.64	$1,864.96	$447.14	$5,849.60
2025-10-11	BTC+AVAX	AVAX	$22.34	3.65802192	$81.72	0.45725274	$10.22	4.11527466	$3,984.64	$1,956.89	$91.94	$5,941.53
2025-12-11	BTC+AVAX	AVAX	$13.75	70.306736	$966.72	8.788342	$120.84	79.095078	$3,984.64	$3,044.45	$1,087.56	$7,029.09
