date	pool	token	quote	amount	amount $	paydown	paydown $	sum	BTC $	ETH $	asUSD	total
2025-02-28	BTC+ETH	ETH	$2,130.02	0.0304	$64.75	0	$0.00	0.0304	$0.00	$64.75	$64.75	$64.75
2025-04-17	BTC+ETH	ETH	$1,599.73	0.0504	$80.63	0	$0.00	0.0504	$0.00	$145.38	$80.63	$145.38
2025-04-21	BTC+ETH	ETH	$1,629.20	0.058	$94.49	0	$0.00	0.058	$0.00	$239.87	$94.49	$239.87
2025-04-23	BTC+ETH	ETH	$1,810.56	0.044	$79.66	0	$0.00	0.044	$0.00	$319.54	$79.66	$319.54
2025-04-28	BTC+ETH	ETH	$1,810.52	0.05144	$93.13	0	$0.00	0.05144	$0.00	$412.67	$93.13	$412.67
2025-04-30	BTC+ETH	ETH	$1,814.88	0.0352	$63.88	0	$0.00	0.0352	$0.00	$476.55	$63.88	$476.55
2025-07-18	BTC+ETH	BTC	$117,935.00	0.00632	$745.35	0	$0.00	0.00632	$745.35	$476.55	$745.35	$1,221.90
2025-07-20	BTC+ETH	BTC	$117,982.00	0.00248	$292.60	0.00031	$36.57	0.00279	$1,074.52	$476.55	$329.17	$1,551.07
2025-09-23	BTC+ETH	BTC	$112,737.00	0.00704	$793.67	0.00088	$99.21	0.00792	$1,967.40	$476.55	$892.88	$2,443.95
2025-12-26	BTC+ETH	ETH	$2,974.98	0.01048	$31.18	0.00131	$3.90	0.01179	$1,967.40	$511.63	$35.08	$2,479.03
2025-12-27	BTC+ETH	ETH	$2,926.09	0.00976	$28.56	0.00122	$3.57	0.01098	$1,967.40	$543.76	$32.13	$2,511.15
2026-02-23	BTC+ETH	ETH	$1,828.88	0.09408	$172.06	0.01176	$21.51	0.10584	$1,967.40	$737.33	$193.57	$2,704.72
2026-06-11	BTC+ETH	ETH	$1,652.66	0.06684494784	$110.47	0.00835561848	$13.81	0.07520056632	$1,967.40	$861.61	$124.28	$2,829.00
