date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-02-28	ETH+AVAX	ETH	$2,130.02	0.0328	$69.87	0.0000	$0.00	0.0328	$69.87	$69.87
2025-03-03	ETH+AVAX	ETH	$2,371.48	0.0258	$61.15	0.0000	$0.00	0.0258	$61.15	$131.02
2025-03-10	ETH+AVAX	sAVAX	$21.10	4.0569	$85.59	0.00	$0.00	4.06	$85.59	$216.61
2025-03-13	ETH+AVAX	ETH	$1,897.78	0.0258	$48.94	0.0000	$0.00	0.0258	$48.94	$265.55
2025-03-15	ETH+AVAX	ETH	$1,929.06	0.0428	$82.60	0.0000	$0.00	0.0428	$82.60	$348.15
2025-04-17	ETH+AVAX	ETH	$1,599.73	0.0905	$144.74	0.0000	$0.00	0.0905	$144.74	$492.89
2025-04-21	ETH+AVAX	ETH	$1,629.20	0.1021	$166.41	0.0000	$0.00	0.1021	$166.41	$659.30
2025-04-28	ETH+AVAX	ETH	$1,810.52	0.0387	$70.00	0.0000	$0.00	0.0387	$70.00	$729.30
2025-05-04	ETH+AVAX	ETH	$1,830.27	0.0192	$35.20	0.0000	$0.00	0.0192	$35.20	$764.50
2025-05-16	ETH+AVAX	sAVAX	$28.74	3.53	$101.40	0.00	$0.00	3.53	$101.40	$865.91
2025-06-14	ETH+AVAX	sAVAX	$23.55	25.38	$597.68	0.00	$0.00	25.38	$597.68	$1,463.58
2025-07-20	ETH+AVAX	sAVAX	$31.57	1.77	$55.84	0.00	$0.00	1.77	$55.84	$1,519.42
2025-07-28	ETH+AVAX	sAVAX	$31.08	2.84	$88.29	0.36	$11.04	3.20	$99.33	$1,618.75
2025-09-28	ETH+AVAX	ETH	$3,941.42	0.02031	$80.05	0.002539	$10.01	0.022848	$90.05	$1,708.80
2025-10-13	ETH+AVAX	sAVAX	$28.12	22.13	$622.28	2.77	$77.79	24.89	$700.07	$2,408.87
2025-12-22	ETH+AVAX	sAVAX	$15.12	5.02	$75.89	0.63	$9.49	5.65	$85.37	$2,494.25
