opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-02-13	1	14	https://snowtrace.io/tx/0x8c52a9e20bd107502c24e2857e7a19c4c1706d0711fd6f729d9b58788137e712	n/a	USDC	AVALANCHE	1750	0	$1.00	$1,750.00	1925	AVAX	AVALANCHE	67.52	0	$25.54	$1,724.46
2025-02-17	2	14	https://snowtrace.io/tx/0x414641a2bf3fd218d23c718328b5bd471b54586e8edd1e7074d532d4517fc0a9	n/a	USDC	AVALANCHE	1000	0	$1.00	$1,000.00	1100	AVAX	AVALANCHE	40.32	0	$25.53	$1,029.37
2025-02-19	3	14	https://snowtrace.io/tx/0xe67b7ba4cf8e68dedffed346c3756e2b4b98c24c0dd1f749e0aa816fd16a9c4f	n/a	USDC	AVALANCHE	1000	0	$1.00	$1,000.00	1100	AVAX	AVALANCHE	41.34	0	$23.72	$980.58
2025-02-22	4	14	https://snowtrace.io/tx/0x8bef356152ab99ba9459034283614dffdf1721b51d83e7ffebbd55a319f9c084	n/a	USDC	AVALANCHE	750	0	$1.00	$750.00	825	AVAX	AVALANCHE	28.6	0	$25.61	$732.45
2025-02-25	5	11	https://snowtrace.io/tx/0xe49b8e9e13fa7c7346687a8f6b8d7ab4f983d15b52446234ae4ec6280eedcd1c	n/a	USDC	AVALANCHE	1000.002	0	$1.00	$1,000.00	1100.00	AVAX	AVALANCHE	45.69	0	$22.19	$1,013.86
2025-03-11	6	16	https://snowtrace.io/tx/0x6db39e26471097d99415a728909eab861ed1e9d635e3cbca74013642b72de9ba	n/a	AVAX	AVALANCHE	29.31	0	$17.12	$501.79	32.24	USDC	AVALANCHE	499.05	0	$1.00	$499.05
2025-03-14	7	16	https://snowtrace.io/tx/0x3c629b684e221b55738d79f2e82e783b4fac6fa91142a107a0edfb0d8e24d1bb	n/a	AVAX	AVALANCHE	27.04	0	$18.50	$500.24	29.74	USDC	AVALANCHE	501.42	0	$1.00	$501.42
2025-03-18	8	16	https://snowtrace.io/tx/0xe292aad68d0c570ad788cda71504c00b8511e58d50a7015ac375aae441320ffc	n/a	AVAX	AVALANCHE	27.23	0	$18.52	$504.30	29.95	USDC	AVALANCHE	499.44	0	$1.00	$499.44
2025-03-31	9	16	https://snowtrace.io/tx/0x4c3f1d91ed54051276ebfb1996328324ca50bc600dc8526325b78b7d40f91655	n/a	AVAX	AVALANCHE	26.89	0	$18.62	$500.69	29.58	USDC	AVALANCHE	499.64	0	$1.00	$499.64
2025-04-21	10	12	https://snowtrace.io/tx/0xc17e9d9e8451b8c3714450d792da6f2b5aa144edb9a2170ceaca1d15f44709b8	n/a	AVAX	AVALANCHE	54.36	0	$20.03	$1,088.83	59.80	USDC	AVALANCHE	1088.51	0	$1.00	$1,088.51
2025-06-15	11	13	https://snowtrace.io/tx/0x1f6bc55f62f5639baf52da426654c956aa10f45c97c96c5afcf440e1a41d36f9	n/a	AVAX	AVALANCHE	12.6872	0	$19.71	$250.06	13.96	USDC	AVALANCHE	250.19	0	$1.00	$250.19
2025-06-15	12	14	https://snowtrace.io/tx/0x3acb123cecdfb0de57ec0d8b1b103e9507d970b85fb0881d626af5a560eece7b	n/a	USDC	AVALANCHE	500	0	$1.00	$500.00	550	AVAX	AVALANCHE	25.4	0	$19.71	$500.63
2025-06-18	13	16	https://snowtrace.io/tx/0x4a0928a03b2bf59e0d70cf0e02075271e3103e1fdf3a64ecf11f64991dfb22b7	n/a	AVAX	AVALANCHE	13.8542	0	$18.15	$251.45	15.24	USDC	AVALANCHE	250.27	0	$1.00	$250.27
2025-06-18	14	14	https://snowtrace.io/tx/0x2b3659a38aaab7c5a3c1d401c6cf1db2d54862bcadfacd991135b092bdafb7a7	n/a	USDC	AVALANCHE	500	0	$1.00	$500.00	550	AVAX	AVALANCHE	27.73	0	$18.15	$503.30
2025-06-20	15	14	virtual_swap	n/a	USDC	AVALANCHE	0	1000	$1.00	$1,000.00	1100	AVAX	AVALANCHE	57.05	0	$17.35	$989.82
2025-06-20	16	16	https://snowtrace.io/tx/0x53c7ed43b41e595e9063976eff8c0c245b4190cdb7991694b365b4f4f08204c7	n/a	AVAX	AVALANCHE	13.24	0	$17.35	$229.71	14.56	USDC	AVALANCHE	232.13	0	$1.00	$232.13
2025-09-24	17	15	virtual_swap	n/a	USDC	AVALANCHE	0	1000	$1.00	$1,000.00	1100	AVAX	AVALANCHE	57.05	0	$17.35	$989.82
2025-09-24	18	16	https://snowtrace.io/tx/0x53c7ed43b41e595e9063976eff8c0c245b4190cdb7991694b365b4f4f08204c7	n/a	AVAX	AVALANCHE	13.24	0	$17.35	$229.71	14.56	USDC	AVALANCHE	232.13	0	$1.00	$232.13
2025-10-14	19	0	https://snowtrace.io/tx/0xc2d3206c78dfce8fbb1419b5e1433ea26ea0b80ab87454fc096db35f75d18282	n/a	USDC	AVALANCHE	1000	0	$1.00	$1,000.00	1100	AVAX	AVALANCHE	44.32	0	$22.58	$1,000.75
2025-10-14	20	16	virtual_swap	n/a	AVAX	AVALANCHE	0	22.2	$22.58	$501.28	24.42	USDC	AVALANCHE	500.66	0	$1.00	$500.66
2025-12-22	21	19	virtual_swap	2026-06-20	USDC	AVALANCHE	0	491.78	$1.00	$491.78	540.96	AVAX	AVALANCHE	82.09	0	$5.99	$491.72
2025-12-22	22	17	virtual_swap	n/a	AVAX	AVALANCHE	0	82	$12.48	$1,023.36	90.20	USDC	AVALANCHE	997.97	0	$1.00	$997.97
2026-02-23	23	20	https://snowtrace.io/tx/0xb1af8a053aa6c3c5546dfebbda0e43bd274d00033e356dc0bf5f70a1e0826ba8	n/a	USDC	AVALANCHE	2000	0	$1.00	$2,000.00	2200	AVAX	AVALANCHE	242.73	0	$8.41	$2,041.36
2026-02-23	24	0	virtual_swap	2026-09-23	AVAX	AVALANCHE	0	80.80	$11.12	$898.51	88.88	USDC	AVALANCHE	898.63	0	$1.00	$898.63
2026-02-23	25	19	virtual_swap	2026-06-20	USDC	AVALANCHE	0	834.76	$1.00	$834.76	918.23	AVAX	AVALANCHE	139.34	0	$5.99	$834.65
2026-09-08	26	0	virtual_swap	2026-09-23	AVAX	AVALANCHE	0	83.44	$11.12	$927.88	91.79	USDC	AVALANCHE	928	0	$1.00	$928.00
2026-09-08	27	20	https://snowtrace.io/tx/0xe1ab7788201ad60c7b42892e89dc786b2bab2a310bf25153544ce26d99639996	n/a	USDC	AVALANCHE	464	0	$1.00	$464.00	510.40002	AVAX	AVALANCHE	58.14	0	$8.05	$468.03
2026-09-26	28	0	virtual_swap	n/a	AVAX	AVALANCHE	0	157.94	$10.70	$1,690.00	173.74	USDC	AVALANCHE	1690	0	$1.00	$1,690.00
2026-09-26	29	0	https://snowtrace.io/tx/0xfeefd1668cf715bb3143ba51079b24089a05291beb82a8a367dadb6a56488e2c	n/a	USDC	AVALANCHE	845	0	$1.00	$845.00	929.5	AVAX	AVALANCHE	80.14	0	$10.70	$857.46
