opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-01-23	1	0	virtual swap	2026-03-23	BTC	Avalanche	0	0.0037605574	$68180.00	$256.39	0.004136613	AVAX	Avalanche	28.52	0	$8.99	$256.39
2025-02-17	2	0	https://snowtrace.io/tx/0xa2f12cb6a1729bd9270c7f45add692de6ff284fb11f759cb838f56f38c0d016e	n/a	BTC	Avalanche	0.0105	0	$96325.00	$1011.41	0.01155	AVAX	Avalanche	42.04	0	$25.53	$1073.28
2025-02-18	3	0	https://snowtrace.io/tx/0x2fe3ab27b61e7e48c1be8d29611015d7f88dc6497152ca09c9e696fa7b27dd0f	n/a	BTC	Avalanche	0.0105	0	$96360.00	$1011.78	0.01155	AVAX	Avalanche	44.68	0	$23.40	$1045.51
2025-02-19	4	0	https://snowtrace.io/tx/0x3baa5be2ec327c11e8594c45464ae09b09218c5eedfdd95087f694abd22f7eed	n/a	BTC	Avalanche	0.0104	0	$96197.00	$1000.45	0.0114400005	AVAX	Avalanche	41.98	0	$23.72	$995.77
2025-02-20	5	0	https://snowtrace.io/tx/0x6fb489a79c58182f1f2f20473e1885b98992523f11c34f454bcf45b6d86b12ec	n/a	BTC	Avalanche	0.0091	0	$97364.00	$886.01	0.01001	AVAX	Avalanche	36.54	0	$24.34	$889.38
2025-03-11	6	9	https://snowtrace.io/tx/0x930058abca9d536f1083a1d0cf69caba9a99fbf97c50491f85b7e12de428befb	n/a	AVAX	Avalanche	29.4808	0	$16.94	$499.40	32.428883	BTC	Avalanche	0.006141	0	$80668.00	$495.38
2025-03-14	7	1	https://snowtrace.io/tx/0x89f15e80ff31e3970d94670188b5d9f689d7ca5b05b3f01239aa103d38696a14	n/a	AVAX	Avalanche	26.9193	0	$18.50	$498.01	29.61123	BTC	Avalanche	0.006158	0	$82862.00	$510.26
2025-03-16	8	6	https://snowtrace.io/tx/0xfddd7d02391ea8dcd8b70072fd5d71a74ba075619e94be6100a7005ccda55928	n/a	AVAX	Avalanche	26.8078	0	$18.79	$503.72	29.48858	BTC	Avalanche	0.005966	0	$83513.00	$498.24
2025-03-18	9	7	https://snowtrace.io/tx/0xd740a11165b32a5d18f7eef6803df1165f90b6bc7379b07ef1a964099da6c158	n/a	AVAX	Avalanche	27.362	0	$18.39	$503.19	30.0982	BTC	Avalanche	0.006142	0	$82576.00	$507.18
2025-03-21	10	8	https://snowtrace.io/tx/0x9c7fdfbc8733aa2cdd5b14827b4238d9203872d371b8828b3cdd04c8a894d645	n/a	AVAX	Avalanche	26.1104	0	$19.15	$500.01	28.72144	BTC	Avalanche	0.005947	0	$84182.00	$500.63
2025-03-22	11	3	https://snowtrace.io/tx/0x01cfd74a939c149b76589a35e57b9f37e17c55de357fb2b8f9f4a228cbe00215	n/a	AVAX	Avalanche	25.6918	0	$19.39	$498.16	28.26098	BTC	Avalanche	0.005948	0	$84126.00	$500.38
2025-04-17	12	5	https://snowtrace.io/tx/0x148174ed7efbc37158f8422e95530522816e63a2949d9a59b139e60594b44c9d	n/a	AVAX	Avalanche	51.7076	0	$19.31	$998.47	56.87836	BTC	Avalanche	0.011761	0	$84786.00	$997.17
2025-04-21	13	2	https://snowtrace.io/tx/0x797a4a31c5f5a8a95bccdc9ef08c5e020b42d7c495910c25c5c703894ebab937	n/a	AVAX	Avalanche	16.9	0	$20.59	$347.97	18.59	BTC	Avalanche	0.003894	0	$87269.00	$339.83
2025-04-24	14	9	https://snowtrace.io/tx/0x9d6fdc8472290d257d96ecf1a73e36d14dd8da602d64144f0c170511833fee80	n/a	AVAX	Avalanche	25.7	0	$19.47	$500.38	28.270002	BTC	Avalanche	0.005335	0	$94365.00	$503.44
2025-05-09	15	4	https://snowtrace.io/tx/0x197393004ea5f3bd5e3772ee22b97876ae39ae8484ee74f541d27f4b77d4af68	n/a	AVAX	Avalanche	45.47	0	$23.36	$1062.18	50.017002	BTC	Avalanche	0.010214	0	$102932.00	$1051.35
2025-06-09	16	9	https://snowtrace.io/tx/0xd321e9c21b33a288735ba8d7501aaed99fc6d2a96f5da3353f7f56b5f6fc53e8	n/a	AVAX	Avalanche	23.0024	0	$20.81	$478.68	25.302639	BTC	Avalanche	0.004586	0	$107695.00	$493.89
2025-06-14	17	10	https://snowtrace.io/tx/0x3ee7823da729e6af9448a90b297461753cdbca39c7ba6218045da5ba50d56f74	n/a	AVAX	Avalanche	13.1631	0	$18.95	$249.44	14.47941	BTC	Avalanche	0.002366	0	$105043.00	$248.53
2025-06-14	18	12	https://snowtrace.io/tx/0x73c365e9c67697450c6ef5801c27c7993d10c33af35d57c55e9505a50739345c	n/a	BTC	Avalanche	0.004736	0	$105043.00	$497.48	0.0052096006	AVAX	Avalanche	26.3	0	$18.95	$498.39
2025-06-15	19	11	https://snowtrace.io/tx/0xf6d34accafaced5ada1168ed5b366b25acf7f276dfa769c4f552faa7e8a59683	n/a	AVAX	Avalanche	12.9456	0	$19.00	$245.97	14.24016	BTC	Avalanche	0.002362	0	$105135.00	$248.33
2025-06-15	20	13	https://snowtrace.io/tx/0x6eec40db4691e5c53cc3063da014d625051c8ac7220d1afe44599b90ac2e44b1	n/a	BTC	Avalanche	0.004726	0	$105135.00	$496.87	0.0051986002	AVAX	Avalanche	25.89	0	$19.00	$491.91
2025-06-18	21	19	https://snowtrace.io/tx/0x185a5795341eb20b613b9c0f13a2bc951751080c77ccaf49911902c445d6337f	n/a	AVAX	Avalanche	13.9173	0	$18.15	$252.60	15.309031	BTC	Avalanche	0.00239	0	$104767.00	$250.39
2025-06-18	22	12	https://snowtrace.io/tx/0x75dbbbaf462c962929a9480c3d0dbbb6022b07fdf90b480570c80c20dcc81612	n/a	BTC	Avalanche	0.004789	0	$104767.00	$501.73	0.0052679	AVAX	Avalanche	27.82	0	$18.15	$504.93
2025-06-19	23	12	virtual swap	n/a	BTC	Avalanche	0	0.0096	$104640.00	$1004.54	0.01056	AVAX	Avalanche	56.12	0	$17.90	$1004.55
2025-06-20	24	12	virtual swap	n/a	BTC	Avalanche	0	0.0096	$104214.00	$1000.45	0.01056	AVAX	Avalanche	56.82	0	$17.35	$985.83
2025-06-20	25	19	https://snowtrace.io/tx/0x5e22f241560d377f70825e1a341d1fe1330d8e17fe3182ebef9a76e9d6ec8332	n/a	AVAX	Avalanche	28	0	$17.35	$485.80	30.800001	BTC	Avalanche	0.004719	0	$104214.00	$491.79
2025-06-25	26	12	virtual swap	n/a	BTC	Avalanche	0.0093	0	$107394.00	$998.76	0.01023	AVAX	Avalanche	56.65	0	$17.72	$1003.84
2025-06-25	27	19	https://snowtrace.io/tx/0x0cfbe029b1c57c1f83421d446c38e0bc45f2b17a3bbd8b443f98f389318edbf5	n/a	AVAX	Avalanche	13.15409	0	$17.72	$233.09	14.4695	BTC	Avalanche	0.002161	0	$107394.00	$232.08
2025-06-26	28	12	virtual swap	n/a	BTC	Avalanche	0	0.007125	$107377.00	$765.06	0.0078375	AVAX	Avalanche	44.21	0	$17.53	$775.00
