opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-02-22	1	7	https://bscscan.com/tx/0x7a372fe2cae533b4397972d25654e1d632f2dd2dd2e0f7e818fa307b2bf37491	n/a	BNB	Binance	1.5	0	$655.44	$983.16	1.6500001	BTC	Binance	0.0104	0	$96708.00	$1005.76
2025-02-25	2	6	https://bscscan.com/tx/0xc8a292cda93be078cd61d92a40117634746a4821011a46eb1d87db7caa376afb	n/a	BNB	Binance	1.62	0	$624.50	$1011.69	1.7820001	BTC	Binance	0.0114	0	$88637.00	$1010.46
2025-02-26	3	5	virtual swap	n/a	BNB	Binance	0	1.65	$618.12	$1019.90	1.815	BTC	Binance	0.0119	0	$87732.00	$1044.01
2025-03-03	4	1	https://bscscan.com/tx/0xcc786aef0e76ca4a7d3aba3f26c850c093e82de7adfa16f29bc44c337f5c7d33	n/a	BTC	Binance	0.012	0	$83776.08	$1005.31	0.013200001	BNB	Binance	1.8019	0	$556.12	$1002.07
2025-03-05	5	2	https://bscscan.com/tx/0x0ab12a69f3f52d11045b7e496f9e3926cd4516ea1e3476d434e547689b922628	n/a	BTC	Binance	0.01111	0	$88758.00	$986.10	0.012221	BNB	Binance	1.6746	0	$591.41	$990.38
2025-03-06	6	3	https://bscscan.com/tx/0x4c96034e6929b35a6ab9aaf5013ff2a44f3ee12b4f9459a487e180f36206af0f	n/a	BTC	Binance	0.0114	0	$90257.00	$1028.93	0.0125400005	BNB	Binance	1.6772	0	$600.74	$1007.56
2025-03-08	7	8	https://bscscan.com/tx/0x94f42831220a76b937e03293cd1e97e98194f49273c133e03e7683608b505798	n/a	BNB	Binance	1.69	0	$597.33	$1009.49	1.8590001	BTC	Binance	0.0116	0	$86223.00	$1000.19
2025-03-17	8	4	https://bscscan.com/tx/0x50c032e318803129c56393e5e0f768042fb9672acc423a79cbd8b9566f09bedf	n/a	BNB	Binance	1.6573	0	$631.20	$1046.09	1.82303	BTC	Binance	0.0124	0	$83513.00	$1035.56
2025-03-22	9	9	https://bscscan.com/tx/0x01320d70d302af6c69ad31cc5e40ef75f5adfb7f7ec8a3f211c921ac6c3b2b26	n/a	BTC	Binance	0.00594	0	$84126.00	$499.71	0.0065340004	BNB	Binance	0.7991	0	$627.78	$501.66
2025-04-21	10	9	https://bscscan.com/tx/0x33d7a6b9c98319df23a93d5e97ac6087c9aa61b9766b7191a6e0b27f8101529a	n/a	BTC	Binance	0.01131	0	$87269.00	$987.01	0.012441	BNB	Binance	1.6615	0	$602.06	$1000.32
2025-05-05	11	9	https://bscscan.com/tx/0x4425cda0df548dbfe8f945b4bafa7ed5dac5f4b2350a3ac6b7dfbfb5ae557406	n/a	BTC	Binance	0.01052	0	$94365.00	$992.72	0.011572001	BNB	Binance	1.6669	0	$596.04	$993.54
2025-05-08	12	9	https://bscscan.com/tx/0xf68e60fbd5b887fde24d14d786e2cd40681e1bfa579400f2bb926ef0bfbda6eb	n/a	BTC	Binance	0.01	0	$99454.00	$994.54	0.011	BNB	Binance	1.6406	0	$615.83	$1010.33
2025-05-08	13	0	https://bscscan.com/tx/0xdffed3371e50b6fd820ac0d5077b85d82e96c0a5f5428e8a156bef30d5f7e4d4	n/a	BNB	Binance	2.884	0	$615.83	$1776.05	3.1724002	BTC	Binance	0.0176	0	$99454.00	$1750.39
2025-05-09	14	9	https://bscscan.com/tx/0x34e90d570537f71d3b36a8ddb08d5026dcc4ee70d1e972e69d9317742a3650dd	n/a	BTC	Binance	0.00975	0	$102932.00	$1003.59	0.010725001	BNB	Binance	1.4937	0	$636.76	$951.13
2025-05-09	15	0	https://bscscan.com/tx/0x1a5d5397b2bd5aec709a21f41c090734641158829ebfa2d9965966d860ea5529	n/a	BNB	Binance	0.75	0	$636.76	$477.57	0.82500005	BTC	Binance	0.0049	0	$102932.00	$504.37
2025-05-11	16	9	https://bscscan.com/tx/0xb85fd4369ee8d5118494d822daea6d9279f2dc6ef63e73cc39dc8caadb3fa870	n/a	BTC	Binance	0.008	0	$104742.00	$837.94	0.008800001	BNB	Binance	1.2748	0	$657.90	$838.69
2025-05-14	17	0	https://bscscan.com/tx/0x09d29e3d90a0d966943106b06c0906d522442429f2942832f45bfd41006c1b1d	n/a	BNB	Binance	0.77	0	$656.68	$505.64	0.847	BTC	Binance	0.0048	0	$104070.00	$499.54
2025-05-16	18	0	https://bscscan.com/tx/0x5ccf04858cce292a8a7c4778ded31f6894658c3a2ba9497291705bb337bbc752	n/a	BNB	Binance	0.77	0	$653.83	$503.45	0.847	BTC	Binance	0.0048	0	$103657.00	$497.55
2025-05-23	19	0	https://bscscan.com/tx/0xd0475695e8367de1ed3c0d284594096192ad337ada4dc90838dbc7efd75d2e1d	n/a	BNB	Binance	0.75	0	$673.50	$505.12	0.82500005	BTC	Binance	0.0046	0	$109800.00	$505.08
2025-06-11	20	0	https://bscscan.com/tx/0xd0637cce7fb8398af71e0d0ac04f52e22d499b78c56ec9451ec0f8c9aee5fb9d	n/a	BNB	Binance	0.75	0	$666.95	$500.21	0.82500005	BTC	Binance	0.0046	0	$109230.00	$502.46
2025-10-02	21	0	virtual swap	2026-03-23	BNB	Binance	0	0.9973195	$624.84	$623.17	1.0970515	BTC	Binance	0.00914	0	$68180.00	$623.17
2025-10-02	22	10	virtual swap	n/a	BTC	Binance	0	0.0045	$119321.00	$536.94	0.00495	BNB	Binance	0.4914	0	$1060.19	$520.98
2025-10-07	23	11	virtual swap	n/a	BNB	Binance	0	0.755	$1319.72	$996.39	0.8305	BTC	Binance	0.008207	0	$124544.00	$1022.13
2025-10-07	24	0	https://bscscan.com/tx/0x07a1ab734d7c0dc31e0d1bf542305e221115772f1c53a0325a775560804df5b0	n/a	BTC	Binance	0.0041	0	$124544.00	$510.63	0.0045100003	BNB	Binance	0.3773	0	$1319.72	$497.93
2025-10-17	25	0	virtual swap	n/a	BNB	Binance	0	0.46	$1074.17	$494.12	0.50600004	BTC	Binance	0.004688	0	$105968.00	$496.78
2025-10-17	26	0	virtual swap	2026-03-23	BTC	Binance	0	0.004223948	$68180.00	$287.99	0.0046463427	BNB	Binance	0.4609	0	$624.84	$287.99
2025-12-11	27	0	virtual swap	n/a	BNB	Binance	0	0.564	$866.47	$488.69	0.6204	BTC	Binance	0.005425	0	$90232.00	$489.51
2025-12-11	28	0	https://bscscan.com/tx/0x7b0dec0a805603f1616807986ac5ada6a6c79d630ea7bc619b67ab4337afa4e3	n/a	BTC	Binance	0.0109	0	$90232.00	$983.53	0.0119900005	BNB	Binance	1.13	0	$866.47	$979.11
