opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-03-08	1	0	https://bscscan.com/tx/0x6146a8afcfb0b331c3e3052243883e88e4e76fda7d808117a1bd3a81536953c0	n/a	BTC	Binance	0.011255	0	$86223.00	$970.44	0.0123805	DOGE	Binance	5080.272	0	$0.1950	$990.65
2025-03-10	2	4	virtual swap	n/a	BTC	Binance	0.0124543	0	$83293.00	$1037.36	0.013699731	DOGE	Binance	6334.01	0	$0.1776	$1124.92
2025-03-11	3	5	virtual swap	n/a	BTC	Binance	0.0120512	0	$80668.00	$972.15	0.01325632	DOGE	Binance	6041.51	0	$0.1575	$951.54
2025-03-11	4	2	https://bscscan.com/tx/0xec8f72fb4f7d2ed68ff9610c3b75d6259af9d8d39ca254a0027a560c03840187	n/a	DOGE	Binance	3057	0	$0.1575	$481.48	3362.7	BTC	Binance	0.006106	0	$80668.00	$492.56
2025-03-18	5	1	https://bscscan.com/tx/0xc92e5edf03962a7b56e1248c1d10da7829f8b80586c1c53ea01cd0c296b718d0	n/a	DOGE	Binance	3000	0	$0.1665	$499.50	3300	BTC	Binance	0.006038	0	$82576.00	$498.59
2025-03-18	6	0	virtual swap	2026-03-23	BTC	Binance	0	0.008278487	$68180.00	$564.43	0.009106336	DOGE	Binance	6292.95	0	$0.0897	$564.43
2025-03-22	7	3	https://bscscan.com/tx/0x480e47fa614181e6cc6f1988612f09bc4397e409d7614e2c1b570810ebd35f8b	n/a	DOGE	Binance	2980	0	$0.1681	$500.94	3278	BTC	Binance	0.005949	0	$84126.00	$500.47
2025-03-22	8	6	virtual swap	n/a	BTC	Binance	0	0.0119025	$84126.00	$1001.31	0.013092751	DOGE	Binance	5941.58	0	$0.1681	$998.78
2025-03-26	9	14	https://bscscan.com/tx/0xbd20fa7effa556386813b07f6fcc4ae6882f717c54f7a2b65b2a079f132f76d2	n/a	DOGE	Binance	3150	0	$0.1618	$509.67	3465	BTC	Binance	0.005727	0	$87269.00	$499.79
2025-05-05	10	14	https://bscscan.com/tx/0xf1217f1a1ea53b762513ee1131a6279ab05fb8647a9c90bd2ff060ffbe65d4e0	n/a	DOGE	Binance	2950	0	$0.1710	$504.45	3245	BTC	Binance	0.0053	0	$94365.00	$500.13
2025-05-08	11	14	https://bscscan.com/tx/0x60dda3f5b26384cda1fe504f1cbc6e34f41a6cd5858213abb070b0610c6e3b80	n/a	DOGE	Binance	2950	0	$0.1844	$543.98	3245	BTC	Binance	0.005592	0	$99454.00	$556.15
2025-05-09	12	7	https://bscscan.com/tx/0x20a323e5c994696dbc86c5c0a70c44b4f4c78cef1d6e6fac3d9a4080eb1fd59a	n/a	DOGE	Binance	4870	0	$0.2061	$1003.71	5357	BTC	Binance	0.009718	0	$102932.00	$1000.29
2025-05-11	13	8	https://bscscan.com/tx/0x00bfbc357f96738671580fc2ef9a20402206919a067f501a5ff762d27e90d7fd	n/a	DOGE	Binance	4280	0	$0.2340	$1001.52	4708	BTC	Binance	0.009497	0	$104742.00	$994.73
