opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-01-23	1	8	https://snowtrace.io/tx/0xf831bfc27890596ca6a9d051165f2e34d103ac46afe648a4490d7d602b768e1f	n/a	ETH	Avalanche	0.33	0	$3294.25	$1087.10	0.36300004	AVAX	Avalanche	31.12	0	$36.38	$1132.15
2025-02-13	2	7	https://snowtrace.io/tx/0xc0382c323e381d331ca4cdc6906fa7ab781d41d09573cef8773198ef201e3e7c	n/a	ETH	Avalanche	0.375	0	$2665.18	$999.44	0.41250002	AVAX	Avalanche	39.47	0	$25.54	$1008.06
2025-02-17	3	5	https://snowtrace.io/tx/0x141e7ab22b4ae2e71c864340a25abd7edab54fd319055a96d000d36134a7bba6	n/a	ETH	Avalanche	0.36	0	$2762.94	$994.66	0.39600003	AVAX	Avalanche	40.91	0	$25.53	$1044.43
2025-02-19	4	1	https://snowtrace.io/tx/0x4982706802a9f70096b59dd2f4f12af8a549b1ae007651054c20cd0cb19a756c	n/a	ETH	Avalanche	0.37	0	$2711.42	$1003.23	0.407	AVAX	Avalanche	42.02	0	$23.72	$996.71
2025-02-20	5	2	https://snowtrace.io/tx/0x1893a7c3407ec011ed8cf86ddc81441b205d08b8c680bf7d0b940111c7dfae53	n/a	ETH	Avalanche	0.305	0	$2737.28	$834.87	0.3355	AVAX	Avalanche	33.83	0	$24.56	$830.86
2025-02-28	6	3	https://snowtrace.io/tx/0xf7e30e0d15ecb1fcb2d23f87557960ce5c350a2a65a12c62083a544ab1910353	n/a	AVAX	Avalanche	46.7	0	$21.45	$1001.72	51.370003	ETH	Avalanche	0.4589	0	$2130.02	$977.47
2025-03-03	7	11	https://snowtrace.io/tx/0x75ddfcea3e82708b27cd21b7f3c0afa9e3b058920e05fd30c65fa3af95d1b772	n/a	AVAX	Avalanche	46.61	0	$21.74	$1013.30	51.271	ETH	Avalanche	0.4605	0	$2181.41	$1004.54
2025-03-08	8	6	https://snowtrace.io/tx/0x731edd16aa2112b39a7ab1c4f8fa284f2834c1dfee6284714c391c33342e1f38	n/a	ETH	Avalanche	0.395	0	$2171.42	$857.71	0.4345	AVAX	Avalanche	42.3225	0	$20.47	$866.34
2025-03-10	9	4	https://snowtrace.io/tx/0x008c6c470a3d939a649e6fe26654d4bb72f545dbe086b87a0634e383ba0a9070	n/a	ETH	Avalanche	0.2944	0	$2124.93	$625.58	0.32384002	AVAX	Avalanche	33.3965	0	$17.63	$588.78
2025-03-13	10	11	https://snowtrace.io/tx/0x44aa2d7e245bb7786fa3cc0b8a49dd58a8db66356a356fdf260ae8df86c2f16a	n/a	AVAX	Avalanche	73.2464	0	$18.50	$1355.06	80.57104	ETH	Avalanche	0.6958	0	$1897.78	$1320.48
2025-03-15	11	10	https://snowtrace.io/tx/0x2117aac84ef461cf65553d5428e2103ea20e5e73b23079297f539dbaebeb7af9	n/a	AVAX	Avalanche	47.18	0	$19.64	$926.62	51.898003	ETH	Avalanche	0.481	0	$1929.06	$927.88
2025-03-22	12	9	https://snowtrace.io/tx/0xe4bfd94bcf2498364eddcbfed927fd7a5d37549f507258a6ec8b7b1b8fa7c938	n/a	ETH	Avalanche	0.17	0	$1988.22	$338.00	0.187	AVAX	Avalanche	17.3237	0	$19.50	$337.81
2025-04-17	13	0	https://snowtrace.io/tx/0x86ab3f369057153f750ebca5a76dfae10cc63ec3278ff5b4750e28478920f701	n/a	ETH	Avalanche	0.312	0	$1599.73	$499.12	0.34320003	AVAX	Avalanche	25.882	0	$19.41	$502.37
