opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-02-22	1	0	virtual swap	2026-03-23	BNB	Binance	0	1.2593011	$624.84	$786.86	1.3852313	ETH	Binance	0.3859	0	$2039.03	$786.86
2025-03-03	2	4	virtual swap	n/a	BNB	Binance	0	1.728	$570.55	$985.91	1.9008001	ETH	Binance	0.4695	0	$2102.13	$986.95
2025-03-04	3	5	virtual swap	n/a	BNB	Binance	0	1.69809	$590.11	$1002.06	1.867899	ETH	Binance	0.46	0	$2174.38	$1000.21
2025-03-05	4	6	virtual swap	n/a	BNB	Binance	0	1.65621	$591.41	$979.50	1.821831	ETH	Binance	0.4394	0	$2178.63	$957.29
2025-03-06	5	3	virtual swap	n/a	BNB	Binance	0	1.67	$600.74	$1003.24	1.837	ETH	Binance	0.4609	0	$2268.81	$1045.69
2025-03-11	6	1	https://bscscan.com/tx/0xfe78041cebf4aada57bed8b76e3dd01da7556e6a05ec8002713a92889fbe35dd	n/a	ETH	Binance	0.262	0	$1885.97	$494.12	0.2882	BNB	Binance	0.9037	0	$544.50	$492.06
2025-03-17	7	0	https://bscscan.com/tx/0x6b8e89d60fdd4f96b01b215aa6df1a7d02878ae702e9f527d2134828ce1090cb	n/a	ETH	Binance	0.264	0	$1910.59	$504.40	0.2904	BNB	Binance	0.7992	0	$631.20	$504.46
2025-03-22	8	2	https://bscscan.com/tx/0xb27a927d451f15109c0c2acd29ddb42dba3b12ae690883e5456d537721d3abbd	n/a	ETH	Binance	0.251	0	$1988.22	$499.04	0.27609998	BNB	Binance	0.7992	0	$627.78	$501.72
2025-04-21	9	0	https://bscscan.com/tx/0xa36e1b213a4a06ae37ee3ff0e5ee84e7fb146ce439171a17999a65dd5d5c1272	n/a	ETH	Binance	0.317	0	$1629.20	$516.46	0.34870002	BNB	Binance	0.834	0	$602.06	$502.12
2025-05-05	10	0	https://bscscan.com/tx/0xf1ae29ee26a281bf1bfd1731e882cb60f908b2110e3739e688147b67a7053d0f	n/a	ETH	Binance	0.55	0	$1805.93	$993.26	0.605	BNB	Binance	1.6708	0	$596.04	$995.86
2025-05-08	11	8	https://bscscan.com/tx/0x5be8ade66fb0ac28094b0eb0addb8f28f3fa5e5ee129f8e1cae08237a4e29378	n/a	ETH	Binance	0.52	0	$1977.22	$1028.15	0.57199997	BNB	Binance	1.8383	0	$615.83	$1132.08
2025-05-09	12	8	https://bscscan.com/tx/0x4d0783b2a2330aedb1e6df4da05c4753f49797952b69c6d8e81d450d70255a5c	n/a	ETH	Binance	0.43	0	$2334.37	$1003.78	0.47300002	BNB	Binance	1.4958	0	$636.76	$952.47
2025-05-11	13	7	https://bscscan.com/tx/0x09d4fec69b5598edea9c131719944faf5b5f35a3890ef617607e62ad34a897fa	n/a	ETH	Binance	0.1985	0	$2522.39	$500.69	0.21835001	BNB	Binance	0.7603	0	$657.90	$500.20
2025-05-23	14	0	https://bscscan.com/tx/0xaad79a81eae03786df3301f22a38adcbe3cbe42f27ad561f677edac8e0e1a209	n/a	BNB	Binance	0.3	0	$673.50	$202.05	0.33	ETH	Binance	0.078	0	$2579.83	$201.23
2025-06-04	15	0	https://bscscan.com/tx/0x712931564e91a7e71a9304e7ba78f61d0dcea528f074e081ee165f54c7412b4e	n/a	BNB	Binance	0.75	0	$666.95	$500.21	0.82500005	ETH	Binance	0.1806	0	$2770.98	$500.44
2025-10-07	16	0	https://bscscan.com/tx/0x2eb01fbba326b8f2edccf1e4c25850ddccdc8ebc2c3b59931e1cd5f9aa1978d7	n/a	BNB	Binance	0.78	0	$1319.72	$1029.38	0.858	ETH	Binance	0.2251	0	$4713.12	$1060.92
2025-10-07	17	8	virtual swap	n/a	ETH	Binance	0	0.112	$4713.12	$527.87	0.12320001	BNB	Binance	0.3889	0	$1319.72	$513.24
2025-10-17	18	0	virtual swap	2026-03-23	BNB	Binance	0	0.42259517	$624.84	$264.05	0.4648547	ETH	Binance	0.1295	0	$2039.03	$264.05
2025-10-17	19	8	virtual swap	n/a	ETH	Binance	0	0.13	$3789.06	$492.58	0.14299999	BNB	Binance	0.4615	0	$1074.17	$495.73
2026-02-05	20	0	virtual swap	n/a	BNB	Binance	0	3.8	$666.96	$2534.45	4.18	ETH	Binance	1.2728	0	$1984.84	$2526.30
2026-02-05	21	0	virtual swap	2026-03-23	ETH	Binance	0	1.054858	$2039.03	$2150.89	1.1603438	BNB	Binance	3.4423	0	$624.84	$2150.89
