date	AVAX	AVAX quote	AVAX $	AVAX %	factor γAVAX	γAVAX	QI	QI quote	QI $	QI %	factor γQI	γQI	total	Total	Total without trades	diff
2025-05-22	45.9698	$24.57	$1,129.48	36.05%	0.85	38.86	223625.91	$0.008958	$2,003.24	63.95%	0.0004701	105.12	143.98	$3,132.72	$2,391.28	$741.43
2025-05-13	48.1159	$24.57	$1,182.21	36.06%	0.85	40.68	223625.92	$0.0093740	$2,096.27	63.94%	0.0004701	105.12	145.79	$3,278.48	$2,436.84	$841.63
2025-04-28	50.1624	$21.76	$1,091.33	35.67%	0.85	42.41	223625.92	$0.0088010	$1,968.13	64.33%	0.0004701	105.12	147.52	$3,059.46	$2,212.57	$846.89
2025-04-17	71.8469	$19.20	$1,379.28	50.96%	0.85	60.74	168847.42	$0.0078610	$1,327.31	49.04%	0.0004701	79.37	140.11	$2,706.59	$1,962.78	$743.81
2025-03-10	91.3022	$20.67	$1,887.22	64.64%	0.85	77.19	122119.63	$0.0084540	$1,032.40	35.36%	0.0004701	57.40	134.59	$2,919.62	$2,112.24	$807.38
2025-03-07	50.9140	$20.67	$1,052.39	35.57%	0.85	43.04	225442.26	$0.0084540	$1,905.89	64.43%	0.0004701	105.97	149.01	$2,958.28	$2,112.24	$846.04
2025-03-03	25.5395	$21.04	$537.35	18.57%	0.85	21.59	287176.77	$0.0082060	$2,356.57	81.43%	0.0004701	134.99	156.58	$2,893.92	$2,106.32	$787.61
2025-02-28	44.9716	$21.42	$963.29	32.34%	0.85	38.02	237519.36	$0.0084850	$2,015.35	67.66%	0.0004701	111.65	149.67	$2,978.64	$2,158.68	$819.96
2025-02-22	20.4303	$25.61	$523.22	15.37%	0.85	17.27	299219.36	$0.009626	$2,880.29	84.63%	0.0004701	140.65	157.92	$3,403.51	$2,524.13	$879.37
2025-02-13	59.3879	$25.54	$1,516.77	43.38%	0.85	50.21	195896.73	$0.0101040	$1,979.34	56.62%	0.0004701	92.08	142.29	$3,496.11	$2,572.46	$923.64
2025-01-23	21.4100	$36.38	$778.90	36.25%	1.76	37.73	96442.00	$0.014201	$1,369.57	63.75%	0.0006879	66.34	104.07	$2,148.47	$2,064.33	$84.14
2025-01-07	3.9022	$40.69	$158.78	9.12%	2.14	8.35	96442.00	$0.016409	$1,582.52	90.88%	0.001024	98.76	107.11	$1,741.30	$1,719.93	$21.37
2025-01-05	18.3668	$41.79	$767.55	39.30%	2.14	39.30	59271.61	$0.020000	$1,185.43	60.70%	0.001024	60.70	100.00	$1,952.98	$1,952.98	$0.00
