date	BNB	BNB quote	BNB $	BNB %	factor γBNB	γBNB	USDt	USDt quote	USDt $	USDt %	factor γUSDt	γUSDt	total	Total	Total without trades	diff
2025-10-19	0.9880	$1,119.11	$1,105.70	10.36%	5.73	5.66	9564.30	$1.00	$9,564.30	89.64%	0.010	96.47	102.14	$10,670.00	$15,577.89	-$4,907.89
2025-05-23	2.4064	$673.50	$1,620.70	15.32%	5.73	13.79	8956.62	$1.00	$8,956.62	84.68%	0.010	90.34	104.14	$10,577.33	$10,964.20	-$386.87
2025-05-16	3.3521	$653.83	$2,191.70	20.67%	5.73	19.21	8412.34	$1.00	$8,412.34	79.33%	0.010	84.85	104.07	$10,604.04	$10,760.54	-$156.50
2025-05-14	2.5721	$656.68	$1,689.05	15.93%	5.73	14.74	8912.34	$1.00	$8,912.34	84.07%	0.010	89.90	104.64	$10,601.39	$10,790.05	-$188.66
2025-05-11	3.8635	$657.90	$2,541.80	23.94%	5.73	22.14	8074.18	$1.00	$8,074.18	76.06%	0.010	81.44	103.59	$10,615.98	$10,802.68	-$186.70
2025-05-09	5.3959	$636.76	$3,435.89	32.70%	5.73	30.93	7072.25	$1.00	$7,072.25	67.30%	0.010	71.34	102.26	$10,508.14	$10,583.80	-$75.66
2025-05-05	12.8832	$596.04	$7,678.89	75.42%	5.73	73.84	2502.40	$1.00	$2,502.40	24.58%	0.010	25.24	99.08	$10,181.29	$10,162.20	$19.09
2025-04-21	11.1765	$602.06	$6,728.94	65.62%	5.73	64.06	3525.21	$1.00	$3,525.21	34.38%	0.010	35.56	99.62	$10,254.15	$10,224.53	$29.61
2025-03-18	12.8470	$632.14	$8,121.08	76.28%	5.73	73.63	2525.08	$1.00	$2,525.08	23.72%	0.010	25.47	99.10	$10,646.16	$10,535.97	$110.19
2025-03-11	16.3309	$544.50	$8,892.19	94.66%	5.73	93.60	501.14	$1.00	$501.14	5.34%	0.010	5.05	98.66	$9,393.33	$9,628.58	-$235.24
2025-03-09	17.2484	$597.33	$10,303.00	100.00%	5.73	98.86	0.00	$1.00	$0.00	0.00%	0.010	0.00	98.86	$10,303.00	$10,175.56	$127.44
2025-03-08	13.5202	$597.33	$8,076.02	100.00%	7.37	99.70	0.00	$1.00	$0.00	0.00%	0.012	0.00	99.70	$8,076.02	$8,109.01	-$32.98
2025-03-07	10.1332	$602.52	$6,105.46	100.00%	9.86	99.96	0.00	$1.00	$0.00	0.00%	0.016	0.00	99.96	$6,105.46	$6,125.66	-$20.20
2025-03-06	6.7634	$600.74	$4,063.03	100.00%	14.80	100.07	0.00	$1.00	$0.00	0.00%	0.025	0.00	100.07	$4,063.03	$4,075.05	-$12.02
2025-03-05	3.4447	$591.55	$2,037.70	100.00%	29.02	99.97	0.00	$1.00	$0.00	0.00%	0.049	0.00	99.97	$2,037.70	$2,037.70	$0.00
