date	accum	weighted_start_date	invested	total_invested	blockchain	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	AVAX	AVAX quote	AVAX $	AVAX %	factor γAVAX	γAVAX	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff	roi	apr
2026-08-31	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0056	$78,377.00	$439.97	9.41%	926.89	5.20	586.60	$7.22	$4,235.22	90.59%	0.1493	87.58	92.78	$4,675.19	$356.11	$7,385.20	$12,060.39	$7,446.69	$4,613.70	49.12%	32.76%
2025-12-22	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0156	$89,935.00	$1,399.59	18.96%	926.89	14.42	479.24	$12.48	$5,980.94	81.04%	0.1493	71.55	85.97	$7,380.53	$0.00	$7,029.09	$14,409.63	$9,388.84	$5,020.79	46.75%	57.79%
2025-12-11	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0064	$90,232.00	$576.69	7.15%	926.89	5.92	544.84	$13.75	$7,491.58	92.85%	0.1493	81.34	87.27	$8,068.28	$1,087.56	$7,029.09	$15,097.37	$9,667.05	$5,430.32	46.75%	60.02%
2025-10-13	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0579	$114,561.00	$6,637.81	51.73%	926.89	53.70	273.48	$22.65	$6,194.93	48.27%	0.1493	40.83	94.53	$12,832.73	$0.00	$5,941.53	$18,774.27	$13,318.70	$5,455.57	39.51%	64.02%
2025-10-11	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0622	$112,303.00	$6,988.42	55.33%	926.89	57.68	252.57	$22.34	$5,642.45	44.67%	0.1493	37.71	95.39	$12,630.86	$91.94	$5,941.53	$18,572.40	$13,083.22	$5,489.18	39.51%	64.60%
2025-09-27	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0668	$109,383.00	$7,308.23	51.97%	926.89	61.93	234.31	$28.83	$6,755.20	48.03%	0.1493	34.98	96.91	$14,063.43	$447.14	$5,849.60	$19,913.03	$14,165.49	$5,747.54	38.90%	67.85%
2025-08-06	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0527	$113,883.00	$6,001.63	47.59%	926.89	48.85	297.24	$22.24	$6,609.14	52.41%	0.1493	44.38	93.22	$12,610.77	$944.06	$5,402.46	$18,013.24	$13,182.92	$4,830.32	35.93%	83.39%
2025-07-27	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0655	$118,085.00	$7,731.94	55.59%	926.89	60.69	237.22	$26.04	$6,177.37	44.41%	0.1493	35.42	96.11	$13,909.31	$48.10	$4,458.40	$18,367.71	$14,269.86	$4,097.85	29.65%	73.49%
2025-07-26	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0612	$117,964.00	$7,219.40	52.71%	926.89	56.73	257.99	$25.11	$6,477.86	47.29%	0.1493	38.52	95.24	$13,697.26	$0.00	$4,410.30	$18,107.56	$14,073.15	$4,034.40	29.33%	73.19%
2025-07-25	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0650	$116,127.00	$7,548.26	56.76%	926.89	60.25	239.85	$23.97	$5,750.03	43.24%	0.1493	35.81	96.06	$13,298.29	$0.00	$4,410.30	$17,708.59	$13,704.17	$4,004.42	29.33%	73.70%
2025-07-23	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0693	$118,015.00	$8,178.44	61.06%	926.89	64.23	218.71	$23.85	$5,216.27	38.94%	0.1493	32.65	96.89	$13,394.71	$0.00	$4,410.30	$17,805.01	$13,823.78	$3,981.24	29.33%	74.72%
2025-07-20	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0735	$117,982.00	$8,671.68	63.74%	926.89	68.13	197.81	$24.94	$4,933.38	36.26%	0.1493	29.53	97.66	$13,605.06	$88.09	$4,410.30	$18,015.36	$14,040.64	$3,974.72	29.33%	76.32%
2025-07-18	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0727	$117,935.00	$8,573.87	64.11%	926.89	67.38	204.08	$23.52	$4,799.42	35.89%	0.1493	30.47	97.85	$13,373.29	$3,401.31	$4,322.21	$17,695.50	$13,750.64	$3,944.86	28.74%	75.88%
2025-07-06	687431195.3	2025-03-01	$0.00	$15,036.42	Avalanche	0.0189	$108,189.00	$2,044.77	18.73%	926.89	17.52	486.79	$18.22	$8,871.16	81.27%	0.1493	72.68	90.19	$10,915.93	$0.00	$920.90	$11,836.82	$11,940.44	-$103.62	6.12%	17.70%
2025-07-01	687431195.3	2025-03-01	$755.60	$15,036.42	Avalanche	0.0138	$106,658.00	$1,471.88	14.26%	926.89	12.79	515.15	$17.18	$8,850.15	85.74%	0.1493	76.91	89.70	$10,322.03	$0.00	$920.90	$11,242.92	$11,613.29	-$370.36	6.12%	18.43%
2025-06-26	652795443.2	2025-02-23	$0.00	$14,280.83	Avalanche	0.0114	$107,377.00	$1,224.10	12.57%	959.60	10.94	485.64	$17.53	$8,513.28	87.43%	0.1663	80.75	91.69	$9,737.38	$27.37	$920.90	$10,658.27	$11,095.77	-$437.50	6.45%	19.18%
2025-06-25	652795443.2	2025-02-23	$0.00	$14,280.83	Avalanche	0.0116	$107,394.00	$1,245.77	12.65%	959.60	11.13	485.64	$17.72	$8,603.71	87.35%	0.1663	80.75	91.88	$9,849.48	$21.48	$893.53	$10,743.01	$11,133.17	-$390.16	6.26%	18.77%
2025-06-20	652795443.2	2025-02-23	$0.00	$14,280.83	Avalanche	0.0118	$104,214.00	$1,229.73	12.75%	959.60	11.32	485.29	$17.35	$8,418.16	87.25%	0.1663	80.69	92.01	$9,647.88	$0.00	$872.05	$10,519.93	$10,833.65	-$313.72	6.11%	19.10%
2025-06-18	652795443.2	2025-02-23	$754.38	$14,280.83	Avalanche	0.0071	$104,767.00	$743.85	7.40%	959.60	6.81	513.04	$18.15	$9,313.45	92.60%	0.1663	85.30	92.12	$10,057.30	$0.00	$872.05	$10,929.34	$11,030.02	-$100.67	6.11%	19.43%
2025-06-15	618225317.8	2025-02-16	$742.83	$13,526.45	Avalanche	0.0047	$105,135.00	$494.13	5.09%	1004.78	4.72	485.10	$19.00	$9,216.82	94.91%	0.1816	88.09	92.81	$9,710.95	$0.00	$872.05	$10,583.00	$10,580.97	$2.03	6.45%	19.93%
2025-06-14	584186416.6	2025-02-10	$746.95	$12,783.62	Avalanche	0.0024	$105,043.00	$252.10	2.82%	1069.91	2.57	459.10	$18.95	$8,700.79	97.18%	0.1930	88.62	91.19	$8,952.89	$194.78	$872.05	$9,824.94	$9,817.95	$6.98	6.82%	20.09%
2025-06-09	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0161	$107,695.00	$1,733.89	19.14%	983.13	15.83	352.11	$20.81	$7,327.37	80.86%	0.2612	91.95	107.78	$9,061.26	$0.00	$677.27	$9,738.53	$9,647.87	$90.66	5.63%	16.22%
2025-06-07	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0115	$105,236.00	$1,207.74	13.29%	983.13	11.28	374.97	$21.01	$7,878.21	86.71%	0.2612	97.93	109.21	$9,085.95	$528.51	$677.27	$9,763.22	$9,540.70	$222.52	5.63%	16.48%
2025-05-09	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0515	$102,932.00	$5,301.66	54.24%	983.13	50.64	191.45	$23.36	$4,472.26	45.76%	0.2612	50.00	100.64	$9,773.92	$0.00	$148.76	$9,922.68	$9,802.63	$120.05	1.24%	4.72%
2025-05-05	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0413	$94,365.00	$3,896.55	45.75%	983.13	40.60	236.75	$19.52	$4,620.44	54.25%	0.2612	61.83	102.42	$8,517.00	$148.76	$148.76	$8,665.75	$8,668.48	-$2.73	1.24%	4.92%
2025-04-21	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0520	$87,269.00	$4,534.23	53.53%	983.13	51.08	191.15	$20.59	$3,935.79	46.47%	0.2612	49.92	101.00	$8,470.02	$0.00	$0.00	$8,470.02	$8,442.45	$27.58	0.00%	0.00%
2025-04-17	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0481	$84,126.00	$4,043.32	50.06%	983.13	47.25	207.98	$19.39	$4,033.13	49.94%	0.2612	54.31	101.57	$8,076.45	$0.00	$0.00	$8,076.45	$8,061.95	$14.50	0.00%	0.00%
2025-03-21	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0304	$84,182.00	$2,555.26	31.94%	983.13	29.84	284.34	$19.15	$5,445.19	68.06%	0.2612	74.26	104.10	$8,000.45	$0.00	$0.00	$8,000.45	$8,024.57	-$24.12	0.00%	0.00%
2025-03-18	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0244	$82,576.00	$2,015.46	26.10%	983.13	24.00	310.39	$18.39	$5,708.00	73.90%	0.2612	81.06	105.05	$7,723.45	$0.00	$0.00	$7,723.45	$7,805.36	-$81.90	0.00%	0.00%
2025-03-17	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0183	$83,513.00	$1,525.38	19.38%	983.13	17.96	337.71	$18.79	$6,345.48	80.62%	0.2612	88.19	106.15	$7,870.87	$0.00	$0.00	$7,870.87	$7,925.98	-$55.11	0.00%	0.00%
2025-03-14	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0123	$82,862.00	$1,019.15	13.14%	983.13	12.09	364.24	$18.50	$6,736.72	86.86%	0.2612	95.12	107.21	$7,755.87	$0.00	$0.00	$7,755.87	$7,839.35	-$83.48	0.00%	0.00%
2025-03-11	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0061	$80,668.00	$495.40	6.76%	983.13	6.04	391.02	$17.48	$6,834.96	93.24%	0.2612	102.12	108.15	$7,330.37	$0.00	$0.00	$7,330.37	$7,543.73	-$213.37	0.00%	0.00%
2025-02-20	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0000	$97,364.00	$0.00	0.00%	983.13	0.00	419.43	$24.34	$10,208.30	100.00%	0.2612	109.54	109.54	$10,208.30	$0.00	$0.00	$10,208.30	$9,648.05	$560.25	0.00%	0.00%
2025-02-19	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0091	$96,197.00	$879.48	8.83%	983.13	8.99	382.87	$23.72	$9,081.65	91.17%	0.2612	99.99	108.98	$9,961.13	$0.00	$0.00	$9,961.13	$9,477.64	$483.49	0.00%	0.00%
2025-02-18	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0195	$96,360.00	$1,883.11	19.10%	983.13	19.21	340.87	$23.40	$7,978.01	80.90%	0.2612	89.02	108.23	$9,861.12	$0.00	$0.00	$9,861.12	$9,434.16	$426.96	0.00%	0.00%
2025-02-17	549959670.9	2025-02-02	$0.00	$12,036.67	Avalanche	0.0300	$96,325.00	$2,893.84	27.56%	983.13	29.54	297.92	$25.53	$7,605.96	72.44%	0.2612	77.80	107.34	$10,499.81	$0.00	$0.00	$10,499.81	$9,788.23	$711.58	0.00%	0.00%
2025-02-15	549959670.9	2025-02-02	$2,008.92	$12,036.67	Avalanche	0.0405	$96,611.00	$3,916.85	36.96%	983.13	39.86	257.49	$25.95	$6,681.77	63.04%	0.2612	67.24	107.10	$10,598.62	$0.00	$0.00	$10,598.62	$9,874.96	$723.66	0.00%	0.00%
2025-02-14	458146102.8	2025-01-30	$1,977.44	$10,027.75	Avalanche	0.0303	$96,611.00	$2,928.13	34.05%	1174.60	35.60	218.57	$25.95	$5,671.99	65.95%	0.3155	68.96	104.56	$8,600.12	$0.00	$0.00	$8,600.12	$8,225.05	$375.08	0.00%	0.00%
2025-02-13	367772920.2	2025-01-27	$1,958.58	$8,050.30	Avalanche	0.0201	$96,171.00	$1,928.46	29.49%	1471.27	29.50	180.53	$25.54	$4,610.75	70.51%	0.3907	70.54	100.04	$6,539.21	$0.00	$0.00	$6,539.21	$6,536.60	$2.61	0.00%	0.00%
2025-01-23	278263644.5	2025-01-22	$0.00	$6,091.72	Avalanche	0.0100	$105,944.00	$1,054.19	20.26%	1,704.79	16.96	114.08	$36.38	$4,150.14	79.74%	0.5972	68.13	85.09	$5,204.33	$0.00	$0.00	$5,204.33	$6,151.76	-$947.43	0.00%	0.00%
2025-01-22	278263644.5	2025-01-22	$6,091.72	$6,091.72	Avalanche	0.0287	$103,851.00	$2,979.14	48.90%	1,704.79	48.90	85.56	$36.38	$3,112.58	51.10%	0.5972	51.10	100.00	$6,091.72	$0.00	$0.00	$6,091.72	$6,091.72	$0.00	0.00%	0.00%
