date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	BNB	BNB quote	BNB $	BNB %	factor γBNB	γBNB	total	Total	Total without trades	diff
2025-05-16	0.0321	$103,657.00	$3,328.22	30.37%	991.04	31.82	11.6703	$653.83	$7,630.38	69.63%	6.713	78.34	110.16	$10,958.60	$10,095.85	$862.75
2025-05-14	0.0273	$104,070.00	$2,845.07	25.83%	991.04	27.09	12.4407	$656.68	$8,169.58	74.17%	6.713	83.51	110.60	$11,014.64	$10,137.93	$876.71
2025-05-11	0.0225	$104,742.00	$2,355.65	21.20%	991.04	22.29	13.3115	$657.90	$8,757.65	78.80%	6.713	89.36	111.64	$11,113.30	$10,180.50	$932.80
2025-05-09	0.0305	$102,932.00	$3,138.40	29.05%	991.04	30.22	12.0360	$636.76	$7,664.03	70.95%	6.713	80.79	111.01	$10,802.43	$9,930.49	$871.94
2025-05-08	0.0353	$99,454.00	$3,515.00	33.57%	991.04	35.03	11.2926	$615.83	$6,954.33	66.43%	6.713	75.80	110.83	$10,469.33	$9,599.38	$869.95
2025-05-05	0.0498	$94,365.00	$4,697.96	45.99%	991.04	49.34	9.2561	$596.04	$5,516.99	54.01%	6.713	62.13	111.47	$10,214.95	$9,197.06	$1,017.88
2025-04-21	0.0836	$87,269.00	$7,296.12	74.11%	991.04	82.86	4.2327	$602.06	$2,548.35	25.89%	6.713	28.41	111.27	$9,844.47	$8,890.95	$953.52
2025-03-21	0.1073	$84,126.00	$9,028.03	94.16%	991.04	106.35	0.8918	$627.78	$559.84	5.84%	6.713	5.99	112.34	$9,587.87	$8,930.16	$657.71
2025-03-18	0.1016	$82,576.00	$8,393.43	88.21%	991.04	100.73	1.7752	$632.14	$1,122.20	11.79%	6.713	11.92	112.65	$9,515.63	$8,886.39	$629.25
2025-03-17	0.0900	$83,513.00	$7,515.79	77.53%	991.04	89.19	3.4507	$631.20	$2,178.08	22.47%	6.713	23.16	112.35	$9,693.87	$8,925.71	$768.16
2025-03-08	0.0651	$86,223.00	$5,610.75	57.61%	991.04	64.49	6.9110	$597.33	$4,128.16	42.39%	6.713	46.39	110.88	$9,738.91	$8,803.24	$935.67
2025-03-06	0.0535	$90,257.00	$4,827.58	48.30%	991.04	53.01	8.6018	$600.74	$5,167.42	51.70%	6.713	57.74	110.75	$9,995.01	$9,029.06	$965.95
2025-03-05	0.0649	$88,758.00	$5,759.25	58.44%	991.04	64.31	6.9245	$591.41	$4,095.23	41.56%	6.713	46.48	110.79	$9,854.48	$8,884.01	$970.47
2025-03-04	0.0760	$86,953.70	$6,608.23	67.71%	991.04	75.32	5.3502	$588.97	$3,151.08	32.29%	6.713	35.91	111.23	$9,759.31	$8,776.07	$983.24
2025-03-03	0.0647	$83,776.08	$5,417.58	72.61%	1248.28	80.72	3.6744	$556.12	$2,043.39	27.39%	8.286	30.45	111.17	$7,460.97	$6,714.61	$746.36
2025-02-26	0.0649	$87,732.00	$5,690.88	98.94%	1607.85	104.30	0.0986	$618.12	$60.93	1.06%	11.328	1.12	105.41	$5,751.81	$5,460.78	$291.02
2025-02-25	0.0421	$88,637.00	$3,735.84	98.03%	2386.95	100.60	0.12	$624.50	$75.06	1.97%	16.178	1.94	102.55	$3,810.90	$3,792.01	$18.89
2025-02-22	0.0307	$96,708.00	$2,972.12	72.26%	2386.95	73.36	1.74	$655.44	$1,140.84	27.74%	16.178	28.16	101.52	$4,112.96	$4,053.76	$59.20
2025-02-21	0.0104	$99,221.00	$1,028.34	46.26%	4463.30	46.26	1.79	$666.62	$1,194.71	53.74%	29.99	53.74	100.00	$2,223.04	$2,223.04	$0.00
