date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	DOGE	DOGE quote	DOGE $	DOGE %	factor γDOGE	γDOGE	total	Total	Total without trades	diff
2025-05-11	0.0730	$104,742.00	$7,649.94	58.77%	901.64	65.85	22936.07	$0.2340	$5,367.04	41.23%	0.002	41.32	107.17	$13,016.98	$12,275.34	$741.64
2025-05-09	0.0263	$102,932.00	$2,711.54	22.42%	901.64	23.75	45530.01	$0.2061	$9,383.73	77.58%	0.002	82.03	105.78	$12,095.27	$11,315.71	$779.56
2025-05-08	0.0166	$99,454.00	$1,653.42	15.10%	901.64	14.99	50400.01	$0.1844	$9,293.76	84.90%	0.002	90.80	105.79	$10,947.18	$10,471.63	$475.55
2025-05-05	0.0110	$94,365.00	$1,041.13	10.24%	901.64	9.95	53350.01	$0.1710	$9,122.85	89.76%	0.002	96.12	106.07	$10,163.98	$9,811.59	$352.39
2025-04-21	0.0178	$87,269.00	$1,551.82	16.06%	901.64	16.03	50117.67	$0.1618	$8,109.04	83.94%	0.002	90.29	106.33	$9,660.86	$9,188.42	$472.44
2025-03-22	0.0181	$84,126.00	$1,522.16	15.28%	901.64	16.31	50202.99	$0.1681	$8,439.12	84.72%	0.002	90.45	106.76	$9,961.28	$9,237.49	$723.80
2025-03-18	0.0121	$82,576.00	$1,002.84	12.70%	1118.01	13.58	41411.91	$0.1665	$6,895.08	87.30%	0.002	93.35	106.93	$7,897.92	$7,302.42	$595.50
2025-03-11	0.0061	$80,668.00	$492.56	8.95%	1531.93	9.35	31810.99	$0.1575	$5,010.23	91.05%	0.003	95.15	104.50	$5,502.79	$5,158.00	$344.79
2025-03-10	0.0000	$83,293.00	$0.00	0.00%	2154.05	0.00	22824.57	$0.1776	$4,053.64	100.00%	0.005	104.83	104.83	$4,053.64	$3,831.60	$222.04
2025-03-08	0.0000	$86,223.00	$0.00	0.00%	4399.85	0.00	10153.32	$0.1950	$1,979.90	100.00%	0.010	101.03	101.03	$1,979.90	$1,979.90	$0.00
