date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	total	Total	Total without trades	diff
2025-06-15	0.0683	$105,135.00	$7,180.72	52.18%	703.13	48.02	2.6090	$2,522.18	$6,580.37	47.82%	16.87	44.01	92.03	$13,761.09	$14,952.44	-$1,191.35
2025-06-14	0.0635	$105,043.00	$6,670.23	52.19%	744.97	47.31	2.4118	$2,533.93	$6,111.33	47.81%	17.97	43.34	90.65	$12,781.56	$14,100.18	-$1,318.62
2025-06-12	0.0588	$107,003.00	$6,291.78	50.87%	799.96	47.04	2.2115	$2,747.26	$6,075.57	49.13%	18.99	42.00	89.04	$12,367.34	$13,845.11	-$1,477.77
2025-06-09	0.0540	$107,695.00	$5,815.53	50.86%	834.86	45.08	2.2115	$2,540.51	$5,618.34	49.14%	19.69	43.55	88.64	$11,433.87	$12,899.83	-$1,465.96
2025-06-07	0.0494	$105,236.00	$5,198.66	50.70%	892.64	44.10	2.0252	$2,496.32	$5,055.55	49.30%	21.17	42.88	86.98	$10,254.21	$11,789.31	-$1,535.10
2025-05-09	0.0447	$102,932.00	$4,595.95	51.86%	896.03	40.01	1.8273	$2,334.37	$4,265.70	48.14%	24.82	45.36	85.37	$8,861.65	$10,466.46	-$1,604.80
2025-05-08	0.0374	$99,454.00	$3,717.81	46.66%	896.03	33.50	2.1491	$1,977.22	$4,249.33	53.34%	24.82	53.35	86.84	$7,967.14	$9,563.42	-$1,596.28
2025-05-05	0.0276	$94,365.00	$2,604.92	35.60%	896.03	24.73	2.6091	$1,805.93	$4,711.93	64.40%	24.82	64.77	89.50	$7,316.85	$8,935.64	-$1,618.79
2025-04-30	0.0223	$95,168.00	$2,119.47	28.80%	896.03	19.96	2.8871	$1,814.88	$5,239.82	71.20%	24.82	71.67	91.62	$7,359.29	$8,999.01	-$1,639.71
2025-04-28	0.0283	$95,338.00	$2,695.67	36.36%	896.03	25.34	2.6064	$1,810.52	$4,718.92	63.64%	24.82	64.70	90.03	$7,414.59	$9,000.07	-$1,585.48
2025-04-23	0.0290	$93,704.00	$2,714.87	36.39%	896.03	25.96	2.6210	$1,810.56	$4,745.43	63.61%	24.82	65.06	91.02	$7,460.30	$8,907.16	-$1,446.86
2025-04-21	0.0295	$87,269.00	$2,575.96	37.50%	896.03	26.45	2.6350	$1,629.20	$4,292.97	62.50%	24.82	65.41	91.86	$6,868.93	$8,182.90	-$1,313.97
2025-04-17	0.0299	$84,786.00	$2,534.54	37.22%	896.03	26.79	2.6726	$1,599.73	$4,275.38	62.78%	24.82	66.34	93.13	$6,809.92	$7,983.41	-$1,173.49
2025-03-31	0.0302	$82,050.00	$2,477.96	33.55%	896.03	27.06	2.7084	$1,812.05	$4,907.78	66.45%	24.82	67.23	94.29	$7,385.74	$8,246.88	-$861.14
2025-03-22	0.0242	$84,126.00	$2,035.56	25.57%	896.03	21.68	2.9804	$1,988.22	$5,925.72	74.43%	24.82	73.98	95.66	$7,961.28	$8,712.83	-$751.55
2025-03-21	0.0182	$84,182.00	$1,535.73	19.43%	896.03	16.35	3.2329	$1,969.78	$6,368.13	80.57%	24.82	80.25	96.60	$7,903.86	$8,679.61	-$775.74
2025-03-18	0.0123	$82,576.00	$1,015.14	13.32%	896.03	11.02	3.4859	$1,895.35	$6,607.03	86.68%	24.82	86.53	97.55	$7,622.17	$8,441.27	-$819.10
2025-03-11	0.0062	$80,668.00	$496.47	6.56%	896.03	5.51	3.7519	$1,885.97	$7,076.00	93.44%	24.82	93.13	98.65	$7,572.47	$8,314.17	-$741.70
2025-03-03	0.0000	$93,115.00	$0.00	0.00%	896.03	0.00	4.0134	$2,371.48	$9,517.73	100.00%	24.82	99.63	99.63	$9,517.73	$9,981.04	-$463.31
2025-02-28	0.0098	$81,075.00	$798.26	9.38%	896.03	8.82	3.6226	$2,130.02	$7,716.17	90.62%	24.82	89.92	98.75	$8,514.42	$8,819.14	-$304.72
2025-02-25	0.0300	$88,637.00	$2,663.18	27.22%	896.03	26.92	2.8875	$2,466.59	$7,122.19	72.78%	24.82	71.68	98.60	$9,785.36	$9,913.97	-$128.60
2025-02-23	0.0414	$95,932.00	$3,971.19	36.38%	896.03	37.09	2.4804	$2,799.80	$6,944.67	63.62%	24.82	61.57	98.66	$10,915.86	$10,986.96	-$71.10
2025-02-15	0.0309	$97,690.00	$3,016.76	28.18%	896.03	27.67	2.8404	$2,706.34	$7,687.14	71.82%	24.82	70.51	98.18	$10,703.90	$10,902.50	-$198.60
2025-02-14	0.0206	$96,611.00	$1,991.88	23.08%	1,033.52	21.31	2.4678	$2,689.53	$6,637.14	76.92%	28.77	71.00	92.31	$8,629.02	$9,070.31	-$441.29
2025-02-13	0.0103	$96,171.00	$993.10	15.06%	1,315.84	13.59	2.1013	$2,665.18	$5,600.24	84.94%	36.47	76.62	90.21	$6,593.33	$7,191.49	-$598.15
2025-01-23	0.0191	$105,944.00	$2,026.26	31.02%	1,616.44	30.92	1.3680	$3,294.25	$4,506.53	68.98%	50.26	68.76	99.67	$6,532.79	$6,554.14	-$21.35
2025-01-22	0.0287	$105,944.00	$3,039.18	46.37%	1,616.44	46.37	1.0670	$3,294.25	$3,514.96	53.63%	50.26	53.63	100.00	$6,554.14	$6,554.14	$0.00
