date	accum	weighted_start_date	invested	total_invested	blockchain	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	BNB	BNB quote	BNB $	BNB %	factor γBNB	γBNB	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff	roi	apr
2026-07-10	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	1.3157	$1,652.66	$2,174.38	27.75%	23.86	31.39	9.5169	$594.95	$5,662.07	72.25%	6.318	60.13	91.52	$7,836.45	$564.66	$1,859.32	$9,695.77	$9,509.92	$185.85	18.64%	13.78%
2026-06-11	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	3.3458	$1,652.66	$5,529.41	68.96%	23.86	79.83	4.1835	$594.95	$2,488.97	31.04%	6.318	26.43	106.26	$8,018.38	$302.20	$1,294.65	$9,313.03	$7,958.03	$1,355.00	12.98%	10.19%
2026-02-05	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	2.2862	$1,984.84	$4,537.82	47.15%	23.86	54.55	7.6258	$666.96	$5,086.10	52.85%	6.318	48.18	102.73	$9,623.91	$363.52	$992.46	$10,616.37	$9,245.52	$1,370.85	9.95%	10.72%
2025-10-07	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	1.0710	$4,713.12	$5,047.94	24.46%	23.86	25.56	11.8103	$1,319.72	$15,586.27	75.54%	6.318	74.62	100.17	$20,634.21	$99.62	$628.94	$21,263.15	$20,222.29	$1,040.86	6.30%	10.57%
2025-06-11	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	0.6450	$2,770.98	$1,787.29	16.72%	23.86	15.39	13.3506	$666.95	$8,904.18	83.28%	6.318	84.35	99.74	$10,691.47	$320.77	$529.32	$11,220.79	$11,174.63	$46.16	5.31%	19.41%
2025-05-23	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	1.8328	$2,579.83	$4,728.34	44.10%	23.86	43.73	8.8978	$673.50	$5,992.67	55.90%	6.318	56.22	99.95	$10,721.01	$0.00	$208.55	$10,929.56	$10,748.51	$181.05	2.09%	9.44%
2025-05-14	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	1.7548	$2,623.33	$4,603.53	43.25%	23.86	41.87	9.1978	$656.68	$6,040.02	56.75%	6.318	58.11	99.98	$10,643.55	$89.39	$208.55	$10,852.10	$10,744.93	$107.17	2.09%	10.63%
2025-05-11	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	2.2157	$2,334.37	$5,172.36	52.01%	23.86	52.87	7.4946	$636.76	$4,772.28	47.99%	6.318	47.35	100.22	$9,944.64	$0.00	$119.16	$10,063.80	$9,905.17	$158.63	1.19%	6.34%
2025-05-09	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	2.4142	$2,334.37	$5,635.73	56.79%	23.86	57.61	6.7343	$636.76	$4,288.15	43.21%	6.318	42.55	100.15	$9,923.88	$0.00	$119.16	$10,043.04	$9,905.17	$137.87	1.19%	6.53%
2025-05-08	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	2.8442	$1,977.22	$5,623.69	63.55%	23.86	67.87	5.2385	$615.83	$3,226.04	36.45%	6.318	33.10	100.96	$8,849.73	$0.00	$119.16	$8,968.89	$8,891.45	$77.44	1.19%	6.63%
2025-05-05	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	3.3642	$1,805.93	$6,075.59	74.99%	23.86	80.27	3.3992	$596.04	$2,026.08	25.01%	6.318	21.48	101.75	$8,101.67	$0.00	$119.16	$8,220.83	$8,341.30	-$120.47	1.19%	6.94%
2025-04-21	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	3.9142	$1,629.20	$6,377.08	85.97%	23.86	93.40	1.7292	$602.06	$1,041.10	14.03%	6.318	10.93	104.32	$7,418.18	$66.36	$119.16	$7,537.35	$7,947.10	-$409.75	1.19%	8.94%
2025-03-23	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	3.9689	$1,988.22	$7,890.98	88.09%	23.86	94.70	1.6994	$627.78	$1,066.83	11.91%	6.318	10.74	105.44	$8,957.81	$0.00	$52.81	$9,010.62	$8,996.83	$13.79	0.53%	9.77%
2025-03-17	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	4.2199	$1,910.59	$8,062.44	93.42%	23.86	100.69	0.9002	$631.20	$568.22	6.58%	6.318	5.69	106.38	$8,630.65	$52.81	$52.81	$8,683.46	$8,828.76	-$145.30	0.53%	14.02%
2025-03-11	456140269.1	2025-03-03	$0.00	$9,976.99	Binance	4.2160	$1,885.97	$7,951.19	93.57%	23.86	100.60	1.0030	$544.50	$546.15	6.43%	6.318	6.34	106.93	$8,497.34	$0.00	$0.00	$8,497.34	$8,199.65	$297.69	0.00%	0.00%
2025-03-06	456140269.1	2025-03-03	$2,044.92	$9,976.99	Binance	4.4780	$2,268.81	$10,159.66	99.42%	23.86	106.85	0.0993	$600.74	$59.64	0.58%	6.318	0.63	107.48	$10,219.30	$0.00	$0.00	$10,219.30	$9,508.02	$711.28	0.00%	0.00%
2025-03-05	362642254.9	2025-03-02	$1,938.10	$7,932.07	Binance	3.5590	$2,174.42	$7,738.76	99.25%	29.63	105.45	0.0993	$590.12	$58.59	0.75%	8.043	0.80	106.25	$7,797.35	$0.00	$0.00	$7,797.35	$7,316.14	$481.21	0.00%	0.00%
2025-03-04	274030551.4	2025-03-01	$2,045.42	$5,993.97	Binance	2.6800	$2,174.42	$5,827.42	99.00%	39.22	105.11	0.0993	$590.12	$58.59	1.00%	10.644	1.06	106.17	$5,886.01	$0.00	$0.00	$5,886.01	$5,525.32	$360.69	0.00%	0.00%
2025-03-03	180513834	2025-02-28	$1,972.89	$3,948.55	Binance	1.7410	$2,102.13	$3,659.88	98.48%	59.54	103.66	0.0993	$570.55	$56.64	1.52%	16.160	1.60	105.26	$3,716.52	$0.00	$0.00	$3,716.52	$3,509.91	$206.61	0.00%	0.00%
2025-02-26	90315388.44	2025-02-26	$1,975.66	$1,975.66	Binance	0.8020	$2,428.14	$1,947.39	96.95%	122.903	98.57	0.0993	$618.12	$61.37	3.05%	31.287	3.11	101.67	$2,008.75	$0.00	$0.00	$2,008.75	$2,008.75	$0.00	0.00%	0.00%
