date	blockchain	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	USDC	USDC quote	USDC $	USDC %	factor γUSDC	γUSDC	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff
2026-02-23	Avalanche	1.1972	$1,828.88	$2,189.50	31.70%	27.05	32.39	4718.49	$1.00	$4,718.49	68.30%	0.010	46.80	79.19	$6,907.99	$395.75	$3,502.58	$10,410.57	$8,407.56	$2,003.01
2025-12-22	Avalanche	0.7329	$3,057.44	$2,240.74	27.29%	27.05	19.83	5968.95	$1.00	$5,968.95	72.71%	0.010	59.20	79.03	$8,209.69	$119.75	$3,106.83	$11,316.52	$10,696.61	$619.91
2025-09-27	Avalanche	0.2667	$4,021.20	$1,072.38	12.55%	27.05	7.21	7469.23	$1.00	$7,469.23	87.45%	0.010	74.08	81.30	$8,541.60	$2,622.00	$2,987.08	$11,528.68	$12,492.28	-$963.60
2025-06-20	Avalanche	2.1052	$2,495.99	$5,254.56	65.66%	27.05	56.95	2748.69	$1.00	$2,748.69	34.34%	0.010	27.26	84.22	$8,003.25	$0.00	$365.08	$8,368.33	$9,650.52	-$1,282.19
2025-06-18	Avalanche	1.8984	$2,508.66	$4,762.44	59.44%	27.05	51.36	3249.66	$1.00	$3,249.66	40.56%	0.010	32.23	83.59	$8,012.10	$0.00	$365.08	$8,377.18	$9,674.13	-$1,296.95
2025-05-24	Avalanche	1.5025	$2,559.19	$3,845.12	47.55%	27.05	40.65	4241.02	$1.00	$4,241.02	52.45%	0.010	42.07	82.71	$8,086.14	$0.00	$365.08	$8,451.22	$9,768.27	-$1,317.05
2025-05-22	Avalanche	1.3031	$2,647.84	$3,450.53	42.12%	27.05	35.26	4741.02	$1.00	$4,741.02	57.88%	0.010	47.02	82.28	$8,191.55	$84.62	$365.08	$8,556.64	$9,933.44	-$1,376.81
2025-05-13	Avalanche	1.5091	$2,521.24	$3,804.86	46.41%	27.05	40.83	4394.38	$1.00	$4,394.38	53.59%	0.010	43.59	84.41	$8,199.24	$122.56	$280.46	$8,479.70	$9,697.56	-$1,217.87
2025-05-05	Avalanche	1.9402	$1,805.93	$3,503.91	51.95%	27.05	52.49	3241.15	$1.00	$3,241.15	48.05%	0.010	32.15	84.64	$6,745.06	$0.00	$157.90	$6,902.96	$8,364.80	-$1,461.84
2025-04-28	Avalanche	2.3515	$1,810.52	$4,257.48	63.03%	27.05	63.62	2497.66	$1.00	$2,497.66	36.97%	0.010	24.77	88.39	$6,755.14	$0.00	$157.90	$6,913.04	$8,373.35	-$1,460.32
2025-04-21	Avalanche	2.9065	$1,629.20	$4,735.31	75.94%	27.05	78.63	1499.92	$1.00	$1,499.92	24.06%	0.010	14.88	93.51	$6,235.22	$76.11	$157.90	$6,393.12	$8,035.52	-$1,642.40
2025-04-17	Avalanche	2.9558	$1,599.73	$4,728.55	75.98%	27.05	79.97	1494.96	$1.00	$1,494.96	24.02%	0.010	14.83	94.80	$6,223.51	$81.79	$81.79	$6,305.30	$7,980.61	-$1,675.31
2025-03-22	Avalanche	3.0081	$1,988.22	$5,980.69	80.00%	27.05	81.38	1495.06	$1.00	$1,495.06	20.00%	0.010	14.83	96.21	$7,475.75	$0.00	$0.00	$7,475.75	$8,704.44	-$1,228.69
2025-03-18	Avalanche	3.2601	$1,895.35	$6,178.96	86.13%	27.05	88.20	995.07	$1.00	$995.07	13.87%	0.010	9.87	98.07	$7,174.03	$0.00	$0.00	$7,174.03	$8,531.41	-$1,357.38
2025-03-11	Avalanche	3.5246	$1,885.97	$6,647.22	93.05%	27.05	95.35	496.59	$1.00	$496.59	6.95%	0.010	4.93	100.28	$7,143.81	$0.00	$0.00	$7,143.81	$8,513.93	-$1,370.12
2025-02-26	Avalanche	3.7816	$2,428.14	$9,182.16	100.00%	27.05	102.31	0.00	$1.00	$0.00	0.00%	0.010	0.00	102.31	$9,182.16	$0.00	$0.00	$9,182.16	$9,524.10	-$341.94
2025-02-25	Avalanche	3.3495	$2,466.59	$8,261.81	89.20%	27.05	90.62	1000.00	$1.00	$1,000.00	10.80%	0.010	9.92	100.54	$9,261.81	$0.00	$0.00	$9,261.81	$9,595.74	-$333.93
2025-02-22	Avalanche	2.9381	$2,727.60	$8,013.90	80.03%	27.05	79.49	2000.00	$1.00	$2,000.00	19.97%	0.010	19.84	99.32	$10,013.90	$0.00	$0.00	$10,013.90	$10,082.05	-$68.15
2025-02-20	Avalanche	2.2145	$2,706.34	$5,993.09	74.98%	33.85	74.95	2000.00	$1.00	$2,000.00	25.02%	0.012	24.73	99.68	$7,993.09	$0.00	$0.00	$7,993.09	$8,041.04	-$47.94
2025-02-15	Avalanche	1.8502	$2,706.34	$5,007.20	83.35%	44.89	83.06	1000.00	$1.00	$1,000.00	16.65%	0.017	16.59	99.65	$6,007.20	$0.00	$0.00	$6,007.20	$6,028.47	-$21.27
2025-02-14	Avalanche	1.1058	$2,689.53	$2,974.07	74.84%	67.32	74.44	1000.00	$1.00	$1,000.00	25.16%	0.025	25.03	99.47	$3,974.07	$0.00	$0.00	$3,974.07	$3,995.34	-$21.27
2025-02-13	Avalanche	0.3710	$2,665.18	$988.78	49.72%	134.01	49.72	1000.00	$1.00	$1,000.00	50.28%	0.050	50.28	100.00	$1,988.78	$0.00	$0.00	$1,988.78	$1,988.78	$0.00
