date	+BTC	BTC	BTC quote	average BTC quote quote	BTC $	BTC %	TOTAL	gains	$ gains	deposits/withdrawals	invested	yields	gains, total	$ gains, total	ROI	APR
2025-11-05	0.00000	0.00098	$102,636.00	$83,656.00	$101.02	100.00%	$101.02	0.00000	-$0.07	$0.00	$100.00	$0.00	0.00000	$1.02	1.02%	1.46%
2025-11-04	0.00000	0.00098	$102,710.00	$83,656.00	$101.09	100.00%	$101.09	0.00000	-$5.07	$0.00	$100.00	$0.00	0.00000	$1.09	1.09%	1.57%
2025-11-03	0.00000	0.00098	$107,858.00	$83,656.00	$106.16	100.00%	$106.16	0.00000	-$2.41	$0.00	$100.00	$0.00	0.00000	$6.16	6.16%	8.92%
2025-11-02	0.00000	0.00098	$110,308.00	$83,656.00	$108.57	100.00%	$108.57	0.00000	$0.29	$0.00	$100.00	$0.00	0.00000	$8.57	8.57%	12.46%
2025-11-01	0.00000	0.00098	$110,015.00	$83,656.00	$108.28	100.00%	$108.28	0.00000	$0.03	$0.00	$100.00	$0.00	0.00000	$8.28	8.28%	12.09%
2025-10-31	0.00000	0.00098	$109,984.00	$83,656.00	$108.25	100.00%	$108.25	0.00000	$1.63	$0.00	$100.00	$0.00	0.00000	$8.25	8.25%	12.09%
2025-10-30	0.00000	0.00098	$108,332.00	$83,656.00	$106.62	100.00%	$106.62	0.00000	-$3.74	$0.00	$100.00	$0.00	0.00000	$6.62	6.62%	9.75%
2025-10-29	0.00000	0.00098	$112,127.00	$83,656.00	$110.36	100.00%	$110.36	0.00000	-$2.07	$0.00	$100.00	$0.00	0.00000	$10.36	10.36%	15.31%
2025-10-28	0.00000	0.00098	$114,227.00	$83,656.00	$112.43	100.00%	$112.43	0.00000	-$0.68	$0.00	$100.00	$0.00	0.00000	$12.43	12.43%	18.44%
2025-10-27	0.00000	0.00098	$114,920.00	$83,656.00	$113.11	100.00%	$113.11	0.00000	$1.50	$0.00	$100.00	$0.00	0.00000	$13.11	13.11%	19.53%
2025-10-26	0.00000	0.00098	$113,391.00	$83,656.00	$111.60	100.00%	$111.60	0.00000	$1.65	$0.00	$100.00	$0.00	0.00000	$11.60	11.60%	17.36%
2025-10-25	0.00000	0.00098	$111,713.00	$83,656.00	$109.95	100.00%	$109.95	0.00000	$0.07	$0.00	$100.00	$0.00	0.00000	$9.95	9.95%	14.95%
2025-10-24	0.00000	0.00098	$111,641.00	$83,656.00	$109.88	100.00%	$109.88	0.00000	$1.84	$0.00	$100.00	$0.00	0.00000	$9.88	9.88%	14.90%
2025-10-23	0.00000	0.00098	$109,773.50	$83,656.00	$108.04	100.00%	$108.04	0.00000	$1.84	$0.00	$100.00	$0.00	0.00000	$8.04	8.04%	12.18%
2025-10-22	0.00000	0.00098	$107,906.00	$83,656.00	$106.21	100.00%	$106.21	0.00000	-$0.64	$0.00	$100.00	$0.00	0.00000	$6.21	6.21%	9.44%
2025-10-21	0.00000	0.00098	$108,555.00	$83,656.00	$106.84	100.00%	$106.84	0.00000	-$2.07	$0.00	$100.00	$0.00	0.00000	$6.84	6.84%	10.45%
2025-10-20	0.00000	0.00098	$110,660.00	$83,656.00	$108.92	100.00%	$108.92	0.00000	$2.22	$0.00	$100.00	$0.00	0.00000	$8.92	8.92%	13.67%
2025-10-19	0.00000	0.00098	$108,406.00	$83,656.00	$106.70	100.00%	$106.70	0.00000	$1.39	$0.00	$100.00	$0.00	0.00000	$6.70	6.70%	10.31%
2025-10-18	0.00000	0.00098	$106,995.00	$83,656.00	$105.31	100.00%	$105.31	0.00000	$1.01	$0.00	$100.00	$0.00	0.00000	$5.31	5.31%	8.21%
2025-10-17	0.00000	0.00098	$105,968.00	$83,656.00	$104.30	100.00%	$104.30	0.00000	-$5.62	$0.00	$100.00	$0.00	0.00000	$4.30	4.30%	6.68%
2025-10-16	0.00000	0.00098	$111,680.00	$83,656.00	$109.92	100.00%	$109.92	0.00000	$0.09	$0.00	$100.00	$0.00	0.00000	$9.92	9.92%	15.47%
2025-10-15	0.00000	0.00098	$111,593.00	$83,656.00	$109.83	100.00%	$109.83	0.00000	$0.50	$0.00	$100.00	$0.00	0.00000	$9.83	9.83%	15.41%
2025-10-14	0.00000	0.00098	$111,080.00	$83,656.00	$109.33	100.00%	$109.33	0.00000	-$3.43	$0.00	$100.00	$0.00	0.00000	$9.33	9.33%	14.68%
2025-10-13	0.00000	0.00098	$114,561.00	$83,656.00	$112.76	100.00%	$112.76	0.00000	$2.62	$0.00	$100.00	$0.00	0.00000	$12.76	12.76%	20.15%
2025-10-12	0.00000	0.00098	$111,896.00	$83,656.00	$110.13	100.00%	$110.13	0.00000	-$0.40	$0.00	$100.00	$0.00	0.00000	$10.13	10.13%	16.08%
2025-10-11	0.00000	0.00098	$112,303.00	$83,656.00	$110.53	100.00%	$110.53	0.00000	-$9.54	$0.00	$100.00	$0.00	0.00000	$10.53	10.53%	16.79%
2025-10-10	0.00000	0.00098	$121,999.00	$83,656.00	$120.08	100.00%	$120.08	0.00000	-$1.05	$0.00	$100.00	$0.00	0.00000	$20.08	20.08%	32.14%
2025-10-09	0.00000	0.00098	$123,063.00	$83,656.00	$121.12	100.00%	$121.12	0.00000	$0.36	$0.00	$100.00	$0.00	0.00000	$21.12	21.12%	33.97%
2025-10-08	0.00000	0.00098	$122,701.00	$83,656.00	$120.77	100.00%	$120.77	0.00000	-$1.81	$0.00	$100.00	$0.00	0.00000	$20.77	20.77%	33.54%
2025-10-07	0.00000	0.00098	$124,544.00	$83,656.00	$122.58	100.00%	$122.58	0.00000	$0.06	$0.00	$100.00	$0.00	0.00000	$22.58	22.58%	36.63%
2025-10-06	0.00000	0.00098	$124,480.00	$83,656.00	$122.52	100.00%	$122.52	0.00000	$1.20	$0.00	$100.00	$0.00	0.00000	$22.52	22.52%	36.69%
2025-10-05	0.00000	0.00098	$123,261.00	$83,656.00	$121.32	100.00%	$121.32	0.00000	$0.85	$0.00	$100.00	$0.00	0.00000	$21.32	21.32%	34.89%
2025-10-04	0.00000	0.00098	$122,395.00	$83,656.00	$120.47	100.00%	$120.47	0.00000	$2.02	$0.00	$100.00	$0.00	0.00000	$20.47	20.47%	33.65%
2025-10-03	0.00000	0.00098	$120,343.00	$83,656.00	$118.45	100.00%	$118.45	0.00000	$1.01	$0.00	$100.00	$0.00	0.00000	$18.45	18.45%	30.47%
2025-10-02	0.00000	0.00098	$119,321.00	$83,656.00	$117.44	100.00%	$117.44	0.00000	$2.50	$0.00	$100.00	$0.00	0.00000	$17.44	17.44%	28.94%
